"","ureslo","uresmed","uresmdh","ureshi","umix","umixhi","ucom","uindlt","uind","upub","uoth","ubigany","uany","unonindany","rres","rcntr","rcom","rind","rpub","rreserve","rany","rfor","rnatrs","xrec","xagfor","xcons","xhalo","xother","xother2","xwater","xtp"
"42",13520846.2914429,9046321.61800634,0,0,0,0,0,0,0,3861709.33615261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972722.754398189
"43",766023.211841338,1241151.53313529,1725976.35004870,0,3684668.61293464,0,504217.81014902,0,0,4916123.64945213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446038.832438885
"44",0,343254.149821719,480555.809346504,0,1010147.92508914,0,627664.730554418,98072.613802024,0,676701.036950551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490703.73443564
"45",0,0,0,0,0,1624386.07818264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379347.647510471,972686.27430689
"46",0,0,0,0,0,3060313.18707669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413815.933599908,904620.879323404
"47",0,2134282.56874319,853713.02709774,0,48506.4223574062,0,339544.954504153,0,0,38805.1376861559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872347.88961135
"48",0,1423554.40993165,438766.770205042,0,126754.845194387,0,0,0,0,877533.540410083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273010.434258835
"49",0,3055232.84503639,0,0,9792.41323630617,0,1233844.03349483,0,0,2173915.67796630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812770.2764324,871524.75383378
"50",719275.636121802,2039589.81821871,0,0,0,0,0,0,0,551773.091070997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566641.45458849
"51",4893852.16807892,4546359.70678126,144788.525706331,0,28957.7049425003,0,260619.346470162,0,0,4276087.79166566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318534.756355162
"52",0,11986880.5584138,87923.329702314,0,166077.399319451,0,214923.693710274,0,0,3077316.52549918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547078.49335502
"53",4173258.46579475,9074410.8491009,0,0,0,0,0,0,0,485262.61267353,0,0,9705.25251327659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300862.819917544
