Azone,Bzone,PECASName,ALDRegion,State,COUNTY,STATEFIPS,COUNTYFIPS,PUMA2000,PUMA1990,GridAcres,HourPark,DayPark,LUIntensityCode,MPOcalibrationzones,MPOmodeledzones,ACT,AggACT,Fare,HPMS,AreaType,NorthColumbia
63,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,282.5,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
64,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,63.99,0,0,Medium,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
65,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,161.21,0,0,High,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
66,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,212.49,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
67,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,329.1,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
68,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,310.15,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
69,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,151.84,0,0,High,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
70,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,202.23,0,0,Medium,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
71,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,163.21,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
72,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,407.14,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
73,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,611.16,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
74,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,932.45,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
75,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,456.86,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
76,37,Portland,Portland_Vancouver,OR,Clackamas,41,5,1304,1500,606.7,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
77,37,Portland,Portland_Vancouver,OR,Clackamas,41,5,1304,1500,297.66,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
78,37,Portland,Portland_Vancouver,OR,Clackamas,41,5,1309,1500,600.23,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
79,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,394.88,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
80,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,293.43,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
81,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,304.13,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
82,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,354.74,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
83,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,262.66,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
84,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,111.26,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
85,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,177.26,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
86,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,436.35,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
87,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,356.75,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
88,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,421.86,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
89,89,Portland,Portland_Vancouver,OR,Washington,41,67,1310,1200,246.83,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
90,89,Portland,Portland_Vancouver,OR,Washington,41,67,1310,1200,333.11,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
91,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,306.8,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
92,89,Portland,Portland_Vancouver,OR,Washington,41,67,1310,1200,262.66,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
93,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,246.38,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
94,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,348.5,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
95,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,311.04,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
96,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,261.76,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
97,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,190.86,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
98,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,259.76,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
99,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,442.15,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
100,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,140.25,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
101,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,572.81,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
102,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,392.2,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
103,19,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,606.47,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
104,104,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,393.32,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
105,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,223.19,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
106,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,192.64,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
107,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,74.03,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
108,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,344.26,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
109,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,57.08,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
110,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,92.98,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
111,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,197.1,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
112,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,124.64,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
113,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,260.87,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
114,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,287.63,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
115,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,179.04,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
116,89,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,229.21,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
117,117,Portland,Portland_Vancouver,OR,Washington,41,67,1310,1200,388.86,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
118,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,210.26,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
119,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,135.34,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
120,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,380.16,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
121,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,270.68,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
122,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,386.18,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
123,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,68.67,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
124,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,62.65,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
125,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,115.05,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
126,81,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,63.77,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,4,0
127,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,467.79,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
128,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,198,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
129,104,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,460.65,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
130,104,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,268.45,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
131,104,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,424.75,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
132,104,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,182.17,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
133,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,562.99,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
134,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,164.1,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
135,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,231,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
136,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,170.79,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
137,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,273.14,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
138,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,63.77,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
139,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,63.1,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
140,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,45.71,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
141,79,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,54.18,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
142,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,27.2,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
143,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,106.58,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
144,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,54.4,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
145,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,84.73,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
146,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,305.47,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
147,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,207.81,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
148,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,463.11,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
149,114,Portland,Portland_Vancouver,OR,Washington,41,67,1313,1200,101.45,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
150,150,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,333.34,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
151,150,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,551.85,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
152,150,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,345.38,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
153,150,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,268.23,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
154,154,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,258.87,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
155,154,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,104.35,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
156,154,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,73.13,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
157,154,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,113.71,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
158,154,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,70.68,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
159,154,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,194.43,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
160,154,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,210.26,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
161,161,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,279.83,0,0,High,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
162,161,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,318.18,0,0,Medium,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
163,104,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,144.71,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
164,161,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,238.8,0,0,Low,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
165,104,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,167.67,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
166,104,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,632.56,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
167,104,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,1583.52,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
168,104,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,274.7,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
169,104,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,303.91,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,2,0
170,161,Portland,Portland_Vancouver,OR,Washington,41,67,1312,1200,292.76,0,0,VeryLow,Metro,Metro,2,PDX,TriMet3,PORTLAND,3,0
