25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPPAP value: 8956.581876490318
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPPERS value: 231070.26338164715
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPRET value: 286039.1055276907
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPTRAN value: 53636.80046581726
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPWHO value: 84616.11847194906
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: ON value: 1642917.5310380422
25-Jan-2007 13:52:31, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:52:31, GAIA, [main], INFO, Beginning submodel 'Labor Income' of type 'SimpleFunctions'
25-Jan-2007 13:52:31, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:52:31, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:52:31, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIACC value: 267959.23363012675
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIAGR value: 446957.66983713664
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLICOM value: 1077831.77602174
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLICON value: 2455846.1472300617
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIELE value: 1278962.0092984692
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIFIR value: 4486402.933294785
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIFOO value: 763591.801978106
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIGOV value: 4635480.495944675
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIHEA value: 3294432.406631308
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIHIED value: 960770.5907118061
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIHOM value: 80160.66821553269
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLILOED value: 2049070.1900562306
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLILUM value: 2156807.4900219347
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIOD value: 2546994.576908722
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIOND value: 913495.6622884875
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIPER value: 2317728.278137032
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIPULP value: 466707.1485684261
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIRET value: 4503638.073722442
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLITRA value: 1729422.236411024
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLIWHO value: 2871227.2745184493
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLI value: 3.9303486663426496E7
25-Jan-2007 13:52:31, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:52:31, GAIA, [main], INFO, Beginning submodel 'Other Stuff' of type 'SimpleFunctions'
25-Jan-2007 13:52:31, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:52:31, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:52:31, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OUNRT value: 6.981186400935643
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: ONLI value: 2.0232722117944114E7
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OLFPR value: 0.6132089935132897
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: ORSV value: 8.7697854E7
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: ONRSV value: 1.22336048E8
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OYP value: 5.327936815794411E7
25-Jan-2007 13:52:31, GAIA, [main], INFO, 		variable: OPOP value: 2887068.333862634
25-Jan-2007 13:52:31, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:52:31, GAIA, [main], INFO, Splitting data for application specific outputs
25-Jan-2007 13:52:31, GAIA, [main], INFO, Input File: /models/tlumip/scenario_ChrisTest3/t0/ed/EDtoPIMini.csv
25-Jan-2007 13:52:31, GAIA, [main], INFO, Output File: /models/tlumip/scenario_ChrisTest3/t1/ed/ActivityDollarDataForPI.csv
25-Jan-2007 13:52:33, GAIA, [main], INFO, Default location:  /models/tlumip/scenario_ChrisTest3/t0/ed/model_data.csv  default year:  1991
25-Jan-2007 13:52:33, GAIA, [main], INFO, Starting ED model in year 1991
25-Jan-2007 13:52:33, GAIA, [main], INFO, Beginning submodel 'Capitalists' of type 'SimpleFunctions'
25-Jan-2007 13:52:33, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:52:33, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:52:33, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:52:33, GAIA, [main], INFO, 		variable: Capitalists value: 8.103724692809734E8
25-Jan-2007 13:52:33, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:52:34, GAIA, [main], INFO, Default location:  /models/tlumip/scenario_ChrisTest3/t0/ed/model_data.csv  default year:  1991
25-Jan-2007 13:52:34, GAIA, [main], INFO, Starting ED model in year 1991
25-Jan-2007 13:52:34, GAIA, [main], INFO, Beginning submodel 'GovernmentInstitutions' of type 'SimpleFunctions'
25-Jan-2007 13:52:34, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:52:34, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:52:34, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:52:34, GAIA, [main], INFO, 		variable: GovInst value: 1.6747176099980178E9
25-Jan-2007 13:52:34, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:52:34, GAIA, [main], INFO, Input File: /models/tlumip/scenario_ChrisTest3/t0/ed/ConstructionSplitter.csv
25-Jan-2007 13:52:34, GAIA, [main], INFO, Output File: /models/tlumip/scenario_ChrisTest3/t1/ed/ConstructionDollarDataForALD.csv
25-Jan-2007 13:52:36, GAIA, [main], INFO, Default location:  /models/tlumip/scenario_ChrisTest3/t0/ed/model_data.csv  default year:  1991
25-Jan-2007 13:52:36, GAIA, [main], INFO, Starting ED model in year 1991
25-Jan-2007 13:52:36, GAIA, [main], INFO, Beginning submodel 'ResidentialConstruction' of type 'SimpleFunctions'
25-Jan-2007 13:52:36, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:52:36, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:52:36, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:52:36, GAIA, [main], INFO, 		variable: Residential Construction value: 2.358368829787596E9
25-Jan-2007 13:52:36, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:52:37, GAIA, [main], INFO, Default location:  /models/tlumip/scenario_ChrisTest3/t0/ed/model_data.csv  default year:  1991
25-Jan-2007 13:52:37, GAIA, [main], INFO, Starting ED model in year 1991
25-Jan-2007 13:52:37, GAIA, [main], INFO, Beginning submodel 'NonResidentialConstruction' of type 'SimpleFunctions'
25-Jan-2007 13:52:37, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:52:37, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:52:37, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:52:37, GAIA, [main], INFO, 		variable: Non-residential Construction value: 1.166489458078061E9
25-Jan-2007 13:52:37, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:52:37, GAIA, [main], INFO, Input File: /models/tlumip/scenario_ChrisTest3/t0/ed/EDtoPISectors.csv
25-Jan-2007 13:52:37, GAIA, [main], INFO, Output File: /models/tlumip/scenario_ChrisTest3/t1/ed/ActivityDollarDataForPI.csv
25-Jan-2007 13:52:37, GAIA, [main], INFO, Input File: /models/tlumip/scenario_ChrisTest3/t0/ed/EDtoSPGSectors.csv
25-Jan-2007 13:52:37, GAIA, [main], INFO, Output File: /models/tlumip/scenario_ChrisTest3/t1/ed/JobDataForSPG1.csv
25-Jan-2007 13:52:38, GAIA, [main], INFO, Writing the application name and the timeInterval for run into the run log
25-Jan-2007 13:52:38, GAIA, [main], INFO, ed is complete
25-Jan-2007 13:55:33, GAIA, [main], INFO, Root Directory: /models/tlumip
25-Jan-2007 13:55:33, GAIA, [main], INFO, Scenario Name: ChrisTest3
25-Jan-2007 13:55:33, GAIA, [main], INFO, App Name: ed
25-Jan-2007 13:55:33, GAIA, [main], INFO, Base Year: 1990
25-Jan-2007 13:55:33, GAIA, [main], INFO, Time Interval: 1
