ZoneNumber,Commodity,TargetPrice,Tolerance,region,type,confidence
2283,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2286,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2287,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2288,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2300,FLR Hospital,20.70528412,20.70528412,OR-Small Cities,Office,VLow
2301,FLR Hospital,20.70528412,20.70528412,OR-Small Cities,Office,VLow
2304,FLR Hospital,20.70528412,20.70528412,OR-Small Cities,Office,VLow
2305,FLR Hospital,20.70528412,20.70528412,OR-Small Cities,Office,VLow
2311,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2315,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2317,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2319,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2324,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2326,FLR Hospital,19.00661659,19.00661659,OR-Small Cities,Office,VLow
2330,FLR Hospital,19.00661659,19.00661659,OR-Small Cities,Office,VLow
2333,FLR Hospital,19.00661659,19.00661659,OR-Small Cities,Office,VLow
2334,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2337,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2342,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2343,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2344,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2353,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2355,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2362,FLR Hospital,17.91939163,8.959695815,Corvallis,Office,Medium
2366,FLR Hospital,17.91939163,8.959695815,Corvallis,Office,Medium
2367,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2370,FLR Hospital,17.91939163,8.959695815,Corvallis,Office,Medium
2374,FLR Hospital,17.91939163,8.959695815,Corvallis,Office,Medium
2376,FLR Hospital,17.91939163,8.959695815,Corvallis,Office,Medium
2383,FLR Hospital,17.91939163,8.959695815,Corvallis,Office,Medium
2412,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2420,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2426,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2431,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2455,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2456,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2461,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2462,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2465,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2475,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2487,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2489,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2497,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2498,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2502,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2509,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2512,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2514,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2524,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2528,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
