ZoneNumber,Commodity,TargetFloorspace,Tolerance,region,type,confidence
3111,FLR Light Industry,11572.1,11572.1,OR-Small Cities,Industrial,100%
3112,FLR Light Industry,14475.06,14475.06,OR-Small Cities,Industrial,100%
3117,FLR Light Industry,0,1000,OR-Small Cities,Industrial,100%
3118,FLR Light Industry,636.7855769,1000,OR-Small Cities,Industrial,100%
3119,FLR Light Industry,33598.90209,33598.90209,OR-Small Cities,Industrial,100%
3120,FLR Light Industry,0,1000,OR-Small Cities,Industrial,100%
3121,FLR Light Industry,79137.49987,79137.49987,OR-Small Cities,Industrial,100%
3126,FLR Light Industry,3182.230037,3182.230037,OR-Small Cities,Industrial,100%
3128,FLR Light Industry,185878.3377,185878.3377,OR-Small Cities,Industrial,100%
3131,FLR Light Industry,1425.822889,1425.822889,OR-Small Cities,Industrial,100%
3133,FLR Light Industry,2312.47,2312.47,OR-Small Cities,Industrial,100%
3139,FLR Light Industry,20775.37,20775.37,OR-Small Cities,Industrial,100%
3140,FLR Light Industry,636.7855769,1000,OR-Small Cities,Industrial,100%
3141,FLR Light Industry,73249.9251,73249.9251,OR-Small Cities,Industrial,100%
3147,FLR Light Industry,0,1000,NonMPO,Industrial,100%
3149,FLR Light Industry,0,1000,NonMPO,Industrial,100%
3150,FLR Light Industry,0,1000,NonMPO,Industrial,100%
3151,FLR Light Industry,6365.935304,6365.935304,NonMPO,Industrial,100%
3153,FLR Light Industry,966.691042,1000,NonMPO,Industrial,100%
3157,FLR Light Industry,751057.6165,751057.6165,OR-Small Cities,Industrial,100%
3171,FLR Light Industry,0,1000,OR-Small Cities,Industrial,100%
3172,FLR Light Industry,111847.2447,111847.2447,OR-Small Cities,Industrial,100%
3177,FLR Light Industry,65625.39878,65625.39878,OR-Small Cities,Industrial,100%
3181,FLR Light Industry,3695.252335,3695.252335,OR-Small Cities,Industrial,100%
3183,FLR Light Industry,0,1000,NonMPO,Industrial,100%
3184,FLR Light Industry,6694.100406,6694.100406,OR-Small Cities,Industrial,100%
3185,FLR Light Industry,3388.83,3388.83,OR-Small Cities,Industrial,100%
4001,FLR Light Industry,1143.149361,1000,OOO,Industrial,70%
4002,FLR Light Industry,49286.63,49286.63,Halo-Small Cities,Industrial,100%
4003,FLR Light Industry,16921.07,16921.07,Halo-Small Cities,Industrial,100%
4004,FLR Light Industry,99414.65,99414.65,Halo-Small Cities,Industrial,100%
4005,FLR Light Industry,45174.2,45174.2,Halo-Small Cities,Industrial,100%
4006,FLR Light Industry,49555.7,49555.7,Halo-Small Cities,Industrial,100%
4007,FLR Light Industry,324284,324284,Halo-Small Cities,Industrial,100%
4008,FLR Light Industry,14148.83,14148.83,Halo-Small Cities,Industrial,100%
4009,FLR Light Industry,39292,39292,Halo-Small Cities,Industrial,100%
4010,FLR Light Industry,46569.34,46569.34,Halo-Small Cities,Industrial,100%
4011,FLR Light Industry,0,1000,OOO,Industrial,70%
4012,FLR Light Industry,118751.05,83125.735,OOO,Industrial,70%
4013,FLR Light Industry,11767.88,8237.516,OOO,Industrial,70%
4014,FLR Light Industry,95146.34,95146.34,Halo-Small Cities,Industrial,100%
4015,FLR Light Industry,241847.07,241847.07,Halo-Small Cities,Industrial,100%
4016,FLR Light Industry,1148782.18,1148782.18,Halo-Urban,Industrial,100%
4017,FLR Light Industry,253792.4,253792.4,Halo-Small Cities,Industrial,100%
