Commodity,ZoneNumber,InternalBought,Price
SCTG01_FKP_LVSK,1775,97439.9903,1.042373277
SCTG01_FKP_LVSK,2009,97498.30894,1.042399786
SCTG01_FKP_LVSK,2011,97566.46659,1.042430767
SCTG01_FKP_LVSK,2018,1898116.14,0.96551856
SCTG01_FKP_LVSK,2023,621781.7383,0.991176119
SCTG01_FKP_LVSK,2025,97824.90448,1.042548239
SCTG01_FKP_LVSK,2028,403786.3083,1.010055688
SCTG01_FKP_LVSK,2031,261262.8024,1.014970822
SCTG01_FKP_LVSK,2035,97784.3787,1.042529819
SCTG01_FKP_LVSK,2042,213734.1011,1.020174066
SCTG01_FKP_LVSK,2045,2258449.796,0.957101956
SCTG01_FKP_LVSK,2046,250521.6117,1.015449898
SCTG01_FKP_LVSK,2051,3485437.104,0.941771462
SCTG01_FKP_LVSK,2056,1994879.781,0.96659399
SCTG01_FKP_LVSK,2059,1562538.475,0.973809911
SCTG01_FKP_LVSK,2063,98234.94644,1.042734622
SCTG01_FKP_LVSK,2072,1397777.803,0.968617393
SCTG01_FKP_LVSK,2073,2790477.06,0.947566882
SCTG01_FKP_LVSK,2076,97621.93442,1.042455979
SCTG01_FKP_LVSK,2092,164974.6661,1.030179327
SCTG01_FKP_LVSK,2094,1041871.486,0.978407879
SCTG01_FKP_LVSK,2098,96986.36547,1.042167084
SCTG01_FKP_LVSK,2109,271641.8615,1.014327129
SCTG01_FKP_LVSK,2111,338933.9092,1.012745791
SCTG01_FKP_LVSK,2112,277406.342,1.011585909
SCTG01_FKP_LVSK,2119,1384861.201,0.968107653
SCTG01_FKP_LVSK,2122,95579.43523,1.041527569
SCTG01_FKP_LVSK,2123,176040.4374,1.024486337
SCTG01_FKP_LVSK,2126,95636.69898,1.041553598
SCTG01_FKP_LVSK,2134,95609.32424,1.041541155
SCTG01_FKP_LVSK,2139,565763.1104,1.003268094
SCTG01_FKP_LVSK,2148,1053882.188,0.973136041
SCTG01_FKP_LVSK,2156,432953.0986,1.001867394
