dms_orig,dms_dest,distance
11,487,1358.06789066125
11,488,1207.85519751577
11,489,1232.06691123975
11,491,2420.06498192811
11,499,2275.93682595548
11,500,1691.10879415965
11,511,950.54340060702
11,512,1004.58777166404
11,513,999.881015059913
11,519,770.33186792468
11,531,3328.71120296678
11,539,3179.70083210889
11,540,794.238064841323
11,551,1065.39503077285
11,559,1266.63866978925
11,560,2086.67664088268
12,11,325.90185235161
12,12,50
12,19,262.530863016805
12,20,5790.86086317842
12,41,2292.07609062802
12,42,2268.34698920366
12,49,2254.1305271096
12,50,622.866346015061
12,61,2709.70380248077
12,62,3141.72009490876
12,63,2727.45864053404
12,64,3181.06487849902
12,69,2967.35135755339
12,81,1825.85602402523
12,89,1849.94693217773
12,91,1845.99159809225
12,92,1779.71126314988
12,99,1850.74617821326
12,100,1449.61398071686
12,111,1344.54086787235
12,121,591.563659083018
12,122,887.036975103726
12,123,673.948799670931
12,124,609.292536088441
12,129,371.032577972416
12,131,460.150823787609
12,132,633.329526662074
12,139,475.160917690074
12,151,6972.65226241034
12,159,6826.31389890982
12,160,2783.05995430164
12,171,1218.5722108199
12,172,913.069999113514
12,179,1026.32975896769
12,181,1169.63152449219
12,182,1003.83557606226
12,189,1014.20345310431
12,190,1348.99080840442
12,201,1099.39832938143
12,209,1291.82668439332
12,211,831.874953897606
12,219,784.189930623964
12,221,307.781981442762
12,222,508.123051432609
12,223,223.923333916953
12,229,428.234866860175
12,230,2296.30003961323
12,241,1400.53540972207
12,242,1343.47465660752
12,249,1402.40439134681
12,251,1949.09840025494
12,259,1861.55426445701
12,261,1375.79051154625
12,262,1372.12511447994
12,269,1465.12281225535
12,271,1664.01423515104
12,279,1827.11443876392
12,280,274.892216009242
12,291,1076.5741125589
12,292,891.758308331716
12,299,931.841107387569
12,300,2591.6553077969
12,310,1598.88979301019
12,321,2685.77651987884
12,329,2801.82685021034
12,330,2032.35674321613
12,341,1629.84294780526
12,342,1536.73065992301
12,349,1535.36623767395
12,350,1751.14232160845
12,361,1837.14878383983
12,362,1548.19071625871
12,363,1728.06018643053
12,364,1637.25524379612
12,369,1774.02046770172
12,371,841.891174149977
12,372,938.608922444264
12,373,1019.24003933662
12,379,1064.67062628492
12,380,2138.55794931414
12,391,999.183259937663
12,392,1314.56136662749
12,393,1118.63420415463
12,394,1070.79119307133
12,399,1165.96444873839
12,401,1024.59705943492
12,402,977.263098102202
12,409,1050.53779705956
12,411,3417.91073244384
12,419,3198.99405606567
12,421,1532.51822041598
12,422,1299.97632635212
12,429,1466.17712157667
12,440,1898.51759938079
12,451,787.08822720043
12,452,689.53352576996
12,459,762.509524703016
12,460,1860.33237020331
12,471,525.123609287563
