Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search
SCTG40_OTH_MISC,140,256.036338,31.51060892,1,-1,0.0001,1,1,0.0001,-0.3402477,-1.5036911,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG41_WASTE_SCRAP,141,17.85488339,17.85488339,1,-1,0.0002789,1,1,0,-0.3402477,-1.9301322,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
Energy,142,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Retail Trade,143,168.4287828,168.4287828,1,-1,0.09,1,1,0,0.04,0,0,s4mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE
Transport,144,86.96787795,86.96787795,1,-1,0.0009,1,1,0,-0.2869496,-0.1209223,-0.01,betapkautotime,betapkautodist,betapkautotoll,p,1,FALSE,1,unknown,FALSE,TRUE
Wholesale Trade,145,68.10535063,68.10535063,1,-1,0.0009,1,1,0,-0.3663225,-0.1209223,-0.01,betapkautotime,betapkautodist,betapkautotoll,p,1,FALSE,1,unknown,FALSE,TRUE
Construction,146,76.09443098,76.09443098,1,-1,0,1,1,0.001799,-0.1472195,-0.1209223,-0.01,betapkautotime,betapkautodist,betapkautotoll,c,1,FALSE,1,unknown,FALSE,TRUE
Communications and Utilities,147,50.27959855,50.27959855,1,-1,0.001799,1,1,0,-0.2348265,-0.1209223,-0.01,betapkautotime,betapkautodist,betapkautotoll,p,1,FALSE,1,unknown,FALSE,TRUE
Accommodations,148,64.27045329,64.27045329,1,-1,0.001799,1,1,0,-0.2074261,-0.1209223,-0.01,betapkautotime,betapkautodist,betapkautotoll,p,1,FALSE,1,unknown,FALSE,TRUE
Personal and Other Services and Amusements,149,41.46377334,41.46377334,1,-1,0.3755,1,1,0,0.0320513,0,0,b5mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE
Entertainment Services,150,36.93883739,36.93883739,1,-1,0.3755,1,1,0,0.0320513,0,0,b5mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE
Food Services,151,38.83631042,38.83631042,1,-1,0.3755,1,1,0,0.0320513,0,0,b5mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE
Teaching K12,152,50,50,1,-1,1,1,1,0,0.0372689,0,0,c4mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE
Higher Education,153,50,50,1,-1,0.2,1,1,0,0.0372689,0,0,c4mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE
Health Services,154,47.40497881,47.40497881,1,-1,1,1,1,0,0.042735,0,0,o4mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE
Fire Business and Professional Services,155,69.50912843,69.50912843,1,-1,0,1,1,0.001,-0.2847265,-0.1209223,-0.01,betapkautotime,betapkautodist,betapkautotoll,c,1,FALSE,1,unknown,FALSE,TRUE
Government Administration,156,22.29577977,22.29577977,1,-1,0.021199999,1,1,0,0.934579439,0,0,b4mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Resources,157,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Energy,158,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Construction,159,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Manufacturing,160,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Wholesale,161,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Retail Store,162,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal ServicesTransport,163,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
