azone,activity,quantity
6002,sctg30_oth_clth_expt,35225196.5
6003,sctg30_oth_clth_expt,189282345.8
6004,sctg30_oth_clth_expt,105685681.5
6005,sctg30_oth_clth_expt,6161998.24
6006,sctg30_oth_clth_expt,41104821.06
6001,sctg30_oth_clth_impt,626419821.7
6002,sctg30_oth_clth_impt,49515085.01
6003,sctg30_oth_clth_impt,1502503206
6004,sctg30_oth_clth_impt,672705419.2
6005,sctg30_oth_clth_impt,764085129.8
6006,sctg30_oth_clth_impt,190275192.5
6001,sctg31_cms_min_expt,895481556.9
6002,sctg31_cms_min_expt,225351874
6003,sctg31_cms_min_expt,668838331.2
6004,sctg31_cms_min_expt,362177221.6
6005,sctg31_cms_min_expt,7617230.65
6006,sctg31_cms_min_expt,113656116.4
6001,sctg31_cms_min_impt,847429023.9
6002,sctg31_cms_min_impt,37226960.11
6003,sctg31_cms_min_impt,632015853.9
6004,sctg31_cms_min_impt,888722218.1
6005,sctg31_cms_min_impt,209239511
6006,sctg31_cms_min_impt,137612293.1
6001,sctg32_mit_metl_base_expt,2378313023
6002,sctg32_mit_metl_base_expt,132657601.4
6003,sctg32_mit_metl_base_expt,985808784.7
6004,sctg32_mit_metl_base_expt,1102038469
6005,sctg32_mit_metl_base_expt,123320477.5
6006,sctg32_mit_metl_base_expt,248533598
6001,sctg32_mit_metl_base_impt,1122673043
6002,sctg32_mit_metl_base_impt,113448237.9
6003,sctg32_mit_metl_base_impt,1919813810
6004,sctg32_mit_metl_base_impt,1795766917
6005,sctg32_mit_metl_base_impt,247451718.6
6006,sctg32_mit_metl_base_impt,273639669.8
6001,sctg33_mit_metl_prod_expt,1217600819
6002,sctg33_mit_metl_prod_expt,107606646.8
6003,sctg33_mit_metl_prod_expt,1760509665
6004,sctg33_mit_metl_prod_expt,688290108
6005,sctg33_mit_metl_prod_expt,52855063.17
6006,sctg33_mit_metl_prod_expt,201413805.4
6001,sctg33_mit_metl_prod_impt,818720728.6
6002,sctg33_mit_metl_prod_impt,183797777.6
6003,sctg33_mit_metl_prod_impt,1774744600
6004,sctg33_mit_metl_prod_impt,738773511.1
6005,sctg33_mit_metl_prod_impt,473502869.9
6006,sctg33_mit_metl_prod_impt,209975762.5
6001,sctg34_mit_mach_expt,1553962286
6002,sctg34_mit_mach_expt,209128316
6003,sctg34_mit_mach_expt,2440081484
6004,sctg34_mit_mach_expt,1004308197
6005,sctg34_mit_mach_expt,250469684.3
6006,sctg34_mit_mach_expt,287260524.3
6001,sctg34_mit_mach_impt,1745627476
6002,sctg34_mit_mach_impt,645224754.9
6003,sctg34_mit_mach_impt,3951920970
6004,sctg34_mit_mach_impt,932853455.7
6005,sctg34_mit_mach_impt,974000398.4
6006,sctg34_mit_mach_impt,434190897.6
6001,sctg35_mit_elct_expt,2604532487
6002,sctg35_mit_elct_expt,647899353.3
6003,sctg35_mit_elct_expt,11879021033
6004,sctg35_mit_elct_expt,7869900541
6005,sctg35_mit_elct_expt,834099806.1
6006,sctg35_mit_elct_expt,1254497537
6001,sctg35_mit_elct_impt,1332569961
6002,sctg35_mit_elct_impt,356930709.9
6003,sctg35_mit_elct_impt,7130151646
6004,sctg35_mit_elct_impt,3993158425
6005,sctg35_mit_elct_impt,980371619.8
6006,sctg35_mit_elct_impt,725956966.4
6001,sctg36_mit_tran_expt,1634124629
6002,sctg36_mit_tran_expt,154333239.9
6003,sctg36_mit_tran_expt,1084160132
6004,sctg36_mit_tran_expt,870064387.1
6005,sctg36_mit_tran_expt,176474753.3
6006,sctg36_mit_tran_expt,206271428.5
6001,sctg36_mit_tran_impt,706925233.3
6002,sctg36_mit_tran_impt,337633351.6
6003,sctg36_mit_tran_impt,3978806338
6004,sctg36_mit_tran_impt,2250588013
6005,sctg36_mit_tran_impt,263289813.3
6006,sctg36_mit_tran_impt,396696986.8
6001,sctg37_mit_inst_transp_expt,1980463990
6002,sctg37_mit_inst_transp_expt,3843162.6
6003,sctg37_mit_inst_transp_expt,493668643
6004,sctg37_mit_inst_transp_expt,58448995.59
6005,sctg37_mit_inst_transp_expt,195553208
6006,sctg37_mit_inst_transp_expt,143788315.7
6001,sctg37_mit_inst_transp_impt,129540557.5
6002,sctg37_mit_inst_transp_impt,974950.8295
6003,sctg37_mit_inst_transp_impt,1730800298
6004,sctg37_mit_inst_transp_impt,111484921.9
6005,sctg37_mit_inst_transp_impt,325738525.9
6006,sctg37_mit_inst_transp_impt,120975750.2
6001,sctg38_mit_inst_prec_expt,128841394.2
6002,sctg38_mit_inst_prec_expt,36913198.06
