vehicle_type,sctg2,auto,livestock,bulk,flatbed,tank,dry_van,reefer,logging,other
TT,20,0,0,0,0,0.04058,0.0037,0,0,0
TT,21,0,0,0,0,0,0,0,0,0
TT,22,0,0,0.00321,0.02528,0.03006,0.03581,0,0,0.0015
TT,23,0,0,0.00466,0.01526,0.00955,0.15924,0,0,0
TT,24,0,0,0,0.25704,0,0,0,0,0
TT,25,0,0,0.0087,0.00147,0,0,0,0.02241,0.01327
TT,26,0,0,0.09538,0.03896,0,0.00107,0,0.00071,0.01724
TT,27,0,0,0,0,0,0.06453,0,0,0
TT,28,0,0,0,0,0,1.03919,0,0,0
TT,29,0,0,0,0,0,1,0,0,0
TT,30,0,0,0,0,0,0.43478,0,0,0
TT,31,0,0,0.0194,0.01707,0,0,0,0,0.01178
TT,32,0,0,0.00386,0.0495,0,0.00575,0,0,0.09511
TT,33,0,0,0.02786,0.04576,0,0.125,0,0,0.04695
TT,34,0,0,0.03163,0.03692,0,0.00129,0,0.00044,0.00078
TT,35,0,0,0,0.13673,0,0.3511,0,0,0
TT,36,0,0,0.02531,0.07947,0,0.03572,0,0,0.00623
TT,37,0,0,0.02199,0.05941,0,0,0,0,0.00491
TT,38,0,0,0,0.5,0,0,0,0,0
TT,39,0,0,0.04346,0.02042,0,0.07936,0,0,0
TT,40,0,0,0,0.06769,0,0.02033,0,0,0.02866
TT,41,0,0,0.06573,0.02041,0,0,0,0,0.00178
TT,42,0,0,0,0.00708,0.05154,0.00145,0,0,0
TT,43,0,0,0,0,0,0.15382,0,0,0
CS,1,0,0.02634,0.00087,0.00628,0.00046,0.00116,0.00061,0,0
CS,2,0,0.00006,0.03127,0.00162,0.00124,0.00056,0.00004,0,0
CS,3,0,0.0005,0.00636,0.0114,0.00062,0.00443,0.01419,0,0
CS,4,0,0.00028,0.00873,0.00598,0.01261,0.00691,0.00257,0,0
CS,5,0,0,0,0.00071,0,0.00449,0.03397,0,0
CS,6,0,0,0,0,0.00389,0.03253,0.00495,0,0
CS,7,0,0,0,0.00023,0.00373,0.01631,0.01912,0,0
CS,8,0,0,0,0.00045,0.00021,0.04709,0.00137,0,0
CS,9,0,0,0,0,0,0.0333,0.00725,0,0
CS,10,0,0,0.012,0.02245,0.00221,0.00072,0,0,0
CS,11,0,0,0.03032,0.00064,0.00423,0.00016,0,0,0
CS,12,0,0,0.03249,0.00175,0.00032,0.0001,0,0.00002,0
CS,13,0,0,0.01708,0.00104,0.01462,0.00124,0,0,0
CS,14,0,0,0.02508,0.00955,0,0.00143,0,0,0
CS,15,0,0,0.03109,0,0,0.00053,0,0,0
