Azone,Bzone,PECASName,ALDRegion,STATEFIPS,COUNTYFIPS,PUMA2000,PUMA1990,HourPark,DayPark,LUIntensityCode,MPOmodeledzones,ACT,Fare
126.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
127.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
128.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
129.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
130.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
131.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
132.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
133.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
134.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
135.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
136.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
137.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
138.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
139.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
140.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
141.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
142.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
143.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
144.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
145.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
146.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
147.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
148.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
149.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
150.0,150.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
151.0,150.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
152.0,150.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
153.0,150.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
154.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
155.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
156.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
157.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
158.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
159.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
160.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
161.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
162.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
163.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
164.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
165.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
166.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
167.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
168.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
169.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
170.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
171.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
172.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
173.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
174.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
175.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
176.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
177.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
178.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
179.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
180.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
181.0,150.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
182.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
183.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
184.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
185.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
186.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
187.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
188.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
189.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
190.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
191.0,154.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
192.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
193.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
194.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
195.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1311.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
