"year","trade_activity","dollars"
2012,"sctg39_oth_furn_impt",1847035
2012,"sctg40_oth_misc_expt",1901755
2012,"sctg40_oth_misc_impt",4977834
2012,"sctg41_waste_scrap_expt",537101
2012,"sctg41_waste_scrap_impt",535548
2012,"transport_expt",3326417
2012,"transport_impt",3272370
2012,"wholesale trade_expt",3429618
2012,"wholesale trade_impt",2166534
2013,"accommodations_expt",3571290
2013,"accommodations_impt",2701241
2013,"communications and utilities_expt",6062982
2013,"communications and utilities_impt",8457539
2013,"construction_expt",10084639
2013,"construction_impt",13245873
2013,"education reports to sponsors_expt",113539
2013,"education reports to sponsors_impt",39391
2013,"energy_expt",3631087
2013,"energy_impt",1241025
2013,"entertainment services_expt",447682
2013,"entertainment services_impt",1163301
2013,"fire business and professional services_expt",9042087
2013,"fire business and professional services_impt",31837726
2013,"food services_expt",790856
2013,"food services_impt",353525
2013,"government administration_expt",3821896
2013,"government administration_impt",3750260
2013,"health services_expt",6918656
2013,"health services_impt",1293900
2013,"higher education_expt",987624
2013,"higher education_impt",878240
2013,"personal and other services and amusements_expt",5272956
2013,"personal and other services and amusements_impt",1839213
2013,"retail trade_expt",4513147
2013,"retail trade_impt",2089558
2013,"sctg01_fkp_lvsk_expt",475887
2013,"sctg01_fkp_lvsk_impt",294871
2013,"sctg02_fkp_agri_cereal_expt",567802
2013,"sctg02_fkp_agri_cereal_impt",674517
2013,"sctg03_fkp_agri_other_expt",7856650
2013,"sctg03_fkp_agri_other_impt",1227985
2013,"sctg04_fkp_feed_expt",182804
2013,"sctg04_fkp_feed_impt",829653
2013,"sctg05_fkp_food_meat_expt",2284983
2013,"sctg05_fkp_food_meat_impt",3164403
2013,"sctg06_fkp_agri_grain_expt",857481
2013,"sctg06_fkp_agri_grain_impt",921204
2013,"sctg07_fkp_food_prep_expt",10584474
2013,"sctg07_fkp_food_prep_impt",5790803
2013,"sctg08_fkp_food_alc_expt",1380461
2013,"sctg08_fkp_food_alc_impt",1518578
2013,"sctg10_cms_clay_expt",118674
2013,"sctg10_cms_clay_impt",74376
2013,"sctg11_cms_sand_expt",202212
2013,"sctg11_cms_sand_impt",18890
2013,"sctg13_cms_mine_nonmet_expt",42164
2013,"sctg13_cms_mine_nonmet_impt",159838
2013,"sctg14_cms_mine_met_expt",1538995
2013,"sctg14_cms_mine_met_impt",590265
2013,"sctg15_pcc_coal_expt",39770
2013,"sctg15_pcc_coal_impt",822217
2013,"sctg16_pcc_petr_crude_expt",282847
2013,"sctg16_pcc_petr_crude_impt",1868853
2013,"sctg17_pcc_fuel_expt",24945
2013,"sctg17_pcc_fuel_impt",6065741
2013,"sctg18_pcc_petr_oil_expt",12472
2013,"sctg18_pcc_petr_oil_impt",3032871
2013,"sctg19_pcc_coal_prod_expt",225635
2013,"sctg19_pcc_coal_prod_impt",4417922
2013,"sctg20_pcc_chem_basic_expt",1237100
2013,"sctg20_pcc_chem_basic_impt",2141432
2013,"sctg21_pcc_chem_pharma_expt",827109
2013,"sctg21_pcc_chem_pharma_impt",6624563
2013,"sctg22_pcc_chem_fert_expt",197415
2013,"sctg22_pcc_chem_fert_impt",445131
2013,"sctg23_pcc_chem_prod_expt",1114188
2013,"sctg23_pcc_chem_prod_impt",3612659
2013,"sctg24_pcc_petr_plast_expt",2285590
2013,"sctg24_pcc_petr_plast_impt",4875699
2013,"sctg25_fwp_logs_expt",1189344
2013,"sctg25_fwp_logs_impt",341350
2013,"sctg26_fwp_wood_expt",4377089
2013,"sctg26_fwp_wood_impt",645461
2013,"sctg27_ppp_papr_puplp_expt",4577689
2013,"sctg27_ppp_papr_puplp_impt",908207
2013,"sctg28_ppp_papr_paper_expt",826510
2013,"sctg28_ppp_papr_paper_impt",1364562
2013,"sctg29_ppp_papr_print_expt",1038588
2013,"sctg29_ppp_papr_print_impt",1826120
2013,"sctg30_oth_clth_expt",573263
2013,"sctg30_oth_clth_impt",3717771
2013,"sctg31_cms_min_expt",966294
2013,"sctg31_cms_min_impt",1428597
2013,"sctg32_mit_metl_base_expt",3746846
2013,"sctg32_mit_metl_base_impt",4259036
2013,"sctg33_mit_metl_prod_expt",2943524
2013,"sctg33_mit_metl_prod_impt",2954017
2013,"sctg34_mit_mach_expt",5609279
2013,"sctg34_mit_mach_impt",8010057
2013,"sctg35_mit_elct_expt",27097056
2013,"sctg35_mit_elct_impt",12646389
2013,"sctg36_mit_tran_expt",4162608
2013,"sctg36_mit_tran_impt",7660734
2013,"sctg37_mit_inst_transp_expt",2874152
2013,"sctg37_mit_inst_transp_impt",2275220
2013,"sctg38_mit_inst_prec_expt",2510247
2013,"sctg38_mit_inst_prec_impt",3363361
2013,"sctg39_oth_furn_expt",1243182
2013,"sctg39_oth_furn_impt",1895048
2013,"sctg40_oth_misc_expt",2007033
2013,"sctg40_oth_misc_impt",5079293
2013,"sctg41_waste_scrap_expt",544813
2013,"sctg41_waste_scrap_impt",541686
2013,"transport_expt",3433590
2013,"transport_impt",3357292
2013,"wholesale trade_expt",3548621
2013,"wholesale trade_impt",2231686
2014,"accommodations_expt",3700732
2014,"accommodations_impt",2756336
2014,"communications and utilities_expt",6218319
2014,"communications and utilities_impt",8664939
2014,"construction_expt",11041744
2014,"construction_impt",13420373
2014,"education reports to sponsors_expt",117340
2014,"education reports to sponsors_impt",39888
2014,"energy_expt",3798097
2014,"energy_impt",1268079
2014,"entertainment services_expt",468689
2014,"entertainment services_impt",1190254
2014,"fire business and professional services_expt",9367409
2014,"fire business and professional services_impt",32766913
2014,"food services_expt",822449
2014,"food services_impt",359519
2014,"government administration_expt",3943898
2014,"government administration_impt",3798205
2014,"health services_expt",7204599
2014,"health services_impt",1310419
2014,"higher education_expt",1008574
2014,"higher education_impt",890077
2014,"personal and other services and amusements_expt",5478722
2014,"personal and other services and amusements_impt",1873526
2014,"retail trade_expt",4633935
2014,"retail trade_impt",2134280
2014,"sctg01_fkp_lvsk_expt",492738
2014,"sctg01_fkp_lvsk_impt",301947
2014,"sctg02_fkp_agri_cereal_expt",585580
2014,"sctg02_fkp_agri_cereal_impt",691541
2014,"sctg03_fkp_agri_other_expt",8132990
2014,"sctg03_fkp_agri_other_impt",1259207
2014,"sctg04_fkp_feed_expt",188322
2014,"sctg04_fkp_feed_impt",845180
2014,"sctg05_fkp_food_meat_expt",2327773
2014,"sctg05_fkp_food_meat_impt",3228579
2014,"sctg06_fkp_agri_grain_expt",875066
2014,"sctg06_fkp_agri_grain_impt",937730
2014,"sctg07_fkp_food_prep_expt",10811478
2014,"sctg07_fkp_food_prep_impt",5904356
2014,"sctg08_fkp_food_alc_expt",1427275
2014,"sctg08_fkp_food_alc_impt",1542063
2014,"sctg10_cms_clay_expt",123313
2014,"sctg10_cms_clay_impt",79529
2014,"sctg11_cms_sand_expt",210025
2014,"sctg11_cms_sand_impt",19827
2014,"sctg13_cms_mine_nonmet_expt",43835
2014,"sctg13_cms_mine_nonmet_impt",164333
2014,"sctg14_cms_mine_met_expt",1552402
2014,"sctg14_cms_mine_met_impt",598310
2014,"sctg15_pcc_coal_expt",40101
2014,"sctg15_pcc_coal_impt",849438
2014,"sctg16_pcc_petr_crude_expt",289839
2014,"sctg16_pcc_petr_crude_impt",1964530
2014,"sctg17_pcc_fuel_expt",25809
2014,"sctg17_pcc_fuel_impt",6229677
2014,"sctg18_pcc_petr_oil_expt",12904
2014,"sctg18_pcc_petr_oil_impt",3114838
2014,"sctg19_pcc_coal_prod_expt",233028
2014,"sctg19_pcc_coal_prod_impt",4548450
2014,"sctg20_pcc_chem_basic_expt",1270277
2014,"sctg20_pcc_chem_basic_impt",2202058
2014,"sctg21_pcc_chem_pharma_expt",867652
2014,"sctg21_pcc_chem_pharma_impt",6759905
2014,"sctg22_pcc_chem_fert_expt",199305
2014,"sctg22_pcc_chem_fert_impt",458019
2014,"sctg23_pcc_chem_prod_expt",1140864
2014,"sctg23_pcc_chem_prod_impt",3708283
