AZone,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD,FLR Accommodation,FLR Government Support,FLR K12,FLR Heavy Industry,FLR Hospital,FLR Institutional,FLR Light Industry,FLR Office,FLR Retail,FLR Warehouse,FLR Agriculture,FLR Logging
72,0.00124,0.015299,0.010837,0.456032,0.000007,0.030047,0,0,0.012208,0,0,0.007032,0.000455,0.007737,0,0.00134,0,0
73,0.007266,0.003478,0.007307,0.67972,0.000041,0.045392,0,0,0.046179,0.000621,0,0.107718,0.001053,0.02843,0.047394,0,0,0
74,0.000204,0.095194,0.121342,1.745923,0.000001,0.116281,0,0.001944,0.007848,0.006945,0,0.002104,0.013966,0.085187,0.158828,0,0,0
75,0,0.300785,0.110778,1.422669,0,0.095005,0,0,0.013927,0,0,0.005585,0.001706,0.011996,0.001891,0.000984,0,0
76,0,0.826032,0.569436,1.828304,0,0.119613,0,0,0.015624,0,0,0.325279,0.002931,0.129564,0.047816,0,0,0
77,0.000004,0.085835,0.123427,0.814598,0,0.053147,0,0,0,0,0,0.012178,0.001266,0.015285,0.012306,0.00134,0,0
78,0.003446,0.016326,0.070205,0.807004,0.000019,0.052311,0,0,0,0,0,0,0.00238,0.003946,0,0,0,0
79,0,0.458715,0.157283,0.585096,0,0.000007,0,0,0,0.00069,0,0.004347,0.002049,0.065678,0.140632,0,43560,0
80,0,0.347223,0.11911,0.443085,0,0,0,0,0.041724,0,0.867693,0.044396,0.12874,0.060271,0.123134,0,0,0
81,0,0.205683,0.088911,0.866881,0,0,0,0,0.012208,0.000661,0,0.003278,0.004978,0.12069,0.033025,0.013503,0,0
82,0.000004,0.151279,0.055364,1.16123,0,0.00001,0,0,0.00872,0,0,0.000759,0.001399,0.027163,0.020096,0.09645,0,0
83,0,0.10522,0.016009,0.838641,0,0,0,0,0.001488,0,0,0.00906,0.006419,0.063537,0.015424,0,0,0
84,0.006453,0.515569,0.003167,0.136312,0,0,0,0,0,0,0,0.005947,0.013608,0.09928,0.307587,0,0,0
85,0.003611,0.27824,0.044485,0.370376,0,0,0,0,0,0,0,0.01894,0.003577,0.032554,0.038645,0,0,0
86,0.045032,0.384337,0.068707,0.863255,0,0,0,0,0,0,0,0.011655,0.000054,0.020092,0.03817,0.004743,0,0
87,0.007111,0.544195,0.088564,0.737558,0,0.000028,0.002344,0,0.059296,0,0,0.025831,0.011109,0.054178,0.056973,0,0,0
88,0.000182,0.314911,0.157606,1.625318,0.000001,0.000162,0,0,0.000872,0.011898,0,0.001261,0.056985,0.025658,0.137237,0,0,0
