ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ImportFunctionEta,ImportFunctionDelta,ImportFunctionSlope,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ExportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,MonitorExchange
3074,SCTG39_OTH_FURN,174145.51860274366,174145.51860274366,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3077,SCTG39_OTH_FURN,16910.114077204405,16910.114077204405,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3081,SCTG39_OTH_FURN,100044.02855525367,100044.02855525367,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3082,SCTG39_OTH_FURN,295698.6073437382,295698.6073437382,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3083,SCTG39_OTH_FURN,544238.2873545613,544238.2873545613,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3087,SCTG39_OTH_FURN,1123251.0075791904,1123251.0075791904,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3092,SCTG39_OTH_FURN,4000.0,4000.0,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3106,SCTG39_OTH_FURN,65836.01732672678,65836.01732672678,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3108,SCTG39_OTH_FURN,523848.5296186908,523848.5296186908,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3111,SCTG39_OTH_FURN,85444.68762397888,85444.68762397888,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3112,SCTG39_OTH_FURN,139028.5066093903,139028.5066093903,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3117,SCTG39_OTH_FURN,5155.28585876062,5155.28585876062,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3118,SCTG39_OTH_FURN,31050.406691237786,31050.406691237786,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
