Azone,FLRType,FLRName,BldgMSQFT
1192.0,AgForest,FLR Logging,29079224.18
1192.0,AgForest,FLR Agriculture,26097486.78
1193.0,AgForest,FLR Agriculture,13704337.12
1194.0,AgForest,FLR Logging,3378589.4
1194.0,AgForest,FLR Agriculture,13987360.12
1195.0,AgForest,FLR Agriculture,2777774.92
1196.0,AgForest,FLR Logging,1553999.96
1199.0,AgForest,FLR Agriculture,582749.98
1200.0,AgForest,FLR Agriculture,466199.99
1202.0,AgForest,FLR Logging,19425.0
1205.0,AgForest,FLR Logging,456487.49
1207.0,AgForest,FLR Agriculture,1884224.95
1208.0,AgForest,FLR Logging,611887.48
1209.0,AgForest,FLR Logging,1097512.47
1210.0,AgForest,FLR Logging,3914137.39
1211.0,AgForest,FLR Agriculture,22338749.39
1212.0,AgForest,FLR Logging,233099.99
1213.0,AgForest,FLR Logging,165112.5
1214.0,AgForest,FLR Logging,573037.48
1215.0,AgForest,FLR Agriculture,12431999.66
1216.0,AgForest,FLR Agriculture,3603337.4
1217.0,AgForest,FLR Logging,5133749.86
1217.0,AgForest,FLR Agriculture,2772224.92
1218.0,AgForest,FLR Logging,4921333.63
1218.0,AgForest,FLR Agriculture,14173440.84
1219.0,AgForest,FLR Logging,4317939.15
1219.0,AgForest,FLR Agriculture,13990122.85
1221.0,AgForest,FLR Agriculture,8925787.25
1222.0,AgForest,FLR Logging,58275.0
1223.0,AgForest,FLR Logging,7206674.8
1224.0,AgForest,FLR Agriculture,49456048.64
1225.0,AgForest,FLR Agriculture,14753287.09
1226.0,AgForest,FLR Logging,2010487.44
1227.0,AgForest,FLR Logging,2178000.0
1227.0,AgForest,FLR Agriculture,8624880.0
1229.0,AgForest,FLR Logging,7184676.95
1229.0,AgForest,FLR Agriculture,36210771.85
1230.0,AgForest,FLR Logging,5904712.18
1230.0,AgForest,FLR Agriculture,22319812.04
1231.0,AgForest,FLR Logging,495337.49
1231.0,AgForest,FLR Agriculture,12364012.16
1232.0,AgForest,FLR Agriculture,4710562.37
1234.0,AgForest,FLR Logging,1670549.95
1235.0,AgForest,FLR Logging,37043473.98
1236.0,AgForest,FLR Logging,278010000.0
1236.0,AgForest,FLR Agriculture,33313874.09
1237.0,AgForest,FLR Logging,4506599.88
1238.0,AgForest,FLR Logging,129269999.9
1238.0,AgForest,FLR Agriculture,1719112.45
1239.0,AgForest,FLR Logging,1215182257.0
1239.0,AgForest,FLR Agriculture,7986223.159
1240.0,AgForest,FLR Logging,30356636.4
1240.0,AgForest,FLR Agriculture,125676474.7
1241.0,AgForest,FLR Logging,85644822.6
1241.0,AgForest,FLR Agriculture,166628337.1
1242.0,AgForest,FLR Logging,314250000.0
1242.0,AgForest,FLR Agriculture,1709399.95
1243.0,AgForest,FLR Logging,3173197017.0
1243.0,AgForest,FLR Agriculture,75136823.83
1244.0,AgForest,FLR Logging,368606914.0
1244.0,AgForest,FLR Agriculture,269316200.4
1290.0,AgForest,FLR Logging,3799386233.0
1290.0,AgForest,FLR Agriculture,1366959721.0
1291.0,AgForest,FLR Logging,1070674157.0
1291.0,AgForest,FLR Agriculture,835125842.7
1292.0,AgForest,FLR Logging,769210914.4
1292.0,AgForest,FLR Agriculture,985667226.7
1313.0,AgForest,FLR Agriculture,217964171.2
1314.0,AgForest,FLR Agriculture,79561402.81
1315.0,AgForest,FLR Agriculture,102384027.4
1318.0,AgForest,FLR Logging,4807297.124
1318.0,AgForest,FLR Agriculture,40560022.44
1319.0,AgForest,FLR Logging,108834.3294
1319.0,AgForest,FLR Agriculture,113700125.0
1320.0,AgForest,FLR Logging,25009553.82
1322.0,AgForest,FLR Logging,813986.1272
1322.0,AgForest,FLR Agriculture,4382032.249
1324.0,AgForest,FLR Agriculture,104913445.5
1327.0,AgForest,FLR Agriculture,2166550.646
1328.0,AgForest,FLR Logging,280.0144411
1328.0,AgForest,FLR Agriculture,179674973.9
1329.0,AgForest,FLR Agriculture,33781925.32
1330.0,AgForest,FLR Agriculture,2771144.264
1331.0,AgForest,FLR Agriculture,70826.9293
1332.0,AgForest,FLR Agriculture,293401.8526
1333.0,AgForest,FLR Agriculture,178840.0365
1339.0,AgForest,FLR Logging,17113814.78
1346.0,AgForest,FLR Agriculture,19033.60157
1352.0,AgForest,FLR Logging,76951.90601
1354.0,AgForest,FLR Logging,100.0
1354.0,AgForest,FLR Agriculture,54327.4631
1355.0,AgForest,FLR Logging,694.7516144
1355.0,AgForest,FLR Agriculture,34849947.63
1358.0,AgForest,FLR Logging,19102.26101
1366.0,AgForest,FLR Logging,119795.3446
1367.0,AgForest,FLR Logging,67013247.41
1369.0,AgForest,FLR Logging,39960.90456
1369.0,AgForest,FLR Agriculture,35223526.59
1370.0,AgForest,FLR Logging,1670.349371
1370.0,AgForest,FLR Agriculture,71960527.43
1371.0,AgForest,FLR Logging,465865.325
1371.0,AgForest,FLR Agriculture,179449.1909
1372.0,AgForest,FLR Agriculture,4210844.515
1373.0,AgForest,FLR Agriculture,18992.96805
1382.0,AgForest,FLR Logging,2559.060173
1384.0,AgForest,FLR Logging,8445.064487
1386.0,AgForest,FLR Logging,5974.286443
1386.0,AgForest,FLR Agriculture,19493.48875
1401.0,AgForest,FLR Logging,390.4401553
1404.0,AgForest,FLR Logging,67597.05984
1435.0,AgForest,FLR Logging,25058004.71
1442.0,AgForest,FLR Logging,258.378411
1443.0,AgForest,FLR Logging,18862.83118
1444.0,AgForest,FLR Logging,6344655.097
1444.0,AgForest,FLR Agriculture,20606393.85
1447.0,AgForest,FLR Logging,27722.36591
1448.0,AgForest,FLR Logging,18293.01789
1448.0,AgForest,FLR Agriculture,12028063.39
1449.0,AgForest,FLR Logging,45473.24659
1449.0,AgForest,FLR Agriculture,3311605.452
1450.0,AgForest,FLR Logging,8033.372413
1450.0,AgForest,FLR Agriculture,15007.63896
1451.0,AgForest,FLR Logging,52977.99791
1451.0,AgForest,FLR Agriculture,160174.3093
1452.0,AgForest,FLR Logging,1573777.843
1457.0,AgForest,FLR Logging,728.9527482
1458.0,AgForest,FLR Logging,1447091.316
1460.0,AgForest,FLR Logging,2933.649348
1461.0,AgForest,FLR Logging,50486313.42
1461.0,AgForest,FLR Agriculture,449535.0521
1462.0,AgForest,FLR Logging,8771515.728
1463.0,AgForest,FLR Logging,9298391.918
1464.0,AgForest,FLR Logging,506498.8759
1464.0,AgForest,FLR Agriculture,55484750.91
1465.0,AgForest,FLR Logging,102981924.2
1466.0,AgForest,FLR Agriculture,65636039.32
1467.0,AgForest,FLR Logging,18444036.99
1467.0,AgForest,FLR Agriculture,943548.8838
1468.0,AgForest,FLR Logging,54209433.63
1468.0,AgForest,FLR Agriculture,928172.9158
1469.0,AgForest,FLR Agriculture,57522375.08
1470.0,AgForest,FLR Agriculture,14895017.22
1471.0,AgForest,FLR Agriculture,31379032.03
1472.0,AgForest,FLR Agriculture,187747258.3
1473.0,AgForest,FLR Logging,5243081.628
1473.0,AgForest,FLR Agriculture,16522583.95
1537.0,AgForest,FLR Logging,359362.49
1538.0,AgForest,FLR Logging,8712000.0
1538.0,AgForest,FLR Agriculture,50573160.0
1539.0,AgForest,FLR Logging,34473197.77
1539.0,AgForest,FLR Agriculture,151034.2929
1540.0,AgForest,FLR Logging,129991.4407
1540.0,AgForest,FLR Agriculture,40105785.23
