Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search,PayloadReferenceDistance,AnotherPayloadDistance,PayloadInterchangeName,MinimumPrice,MaximumPrice,TotalSizeTerm
SCTG34_MIT_MACH,134,48.8873679,48.8873679,1,-1,7.85E-06,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,10219084291
SCTG35_MIT_ELCT,135,28.27766156,28.27766156,1,-1,1.24E-05,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,44852559087
SCTG36_MIT_TRAN,136,5.659034111,5.659034111,1,-1,0.000513654,1,1,2.99E-05,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,7624299081
SCTG37_MIT_INST_transp,137,100,100,1,-1,4.65E-05,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,3516797493
SCTG38_MIT_INST_prec,138,100,100,1,-1,1.95E-05,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,5047481693
SCTG39_OTH_FURN,139,5,5,1,-1,0.000642068,1,1,7.98E-05,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,2599435795
SCTG40_OTH_MISC,140,5,5,1,-1,0.002568272,1,1,1.98E-05,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,5006102504
SCTG41_WASTE_SCRAP,141,60.09445391,60.09445391,1,-1,0.000213297,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,442493097.8
Energy,142,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,9112003189
Retail Trade,143,53.10777939,53.10777939,1,-1,0.043213922,1,1,0,4.273504274,0,0,s4mcls_beta,none,none,p,1,FALSE,1,unknown,FALSE,TRUE,5.18707483,150,betapktrk1dist,-10,5,19961935298
Transport,144,100,100,1,-1,0.001577142,1,1,0,-0.2869496,-0.1209223,-1,betapkautotime,betapkautodist,betapkautotoll,p,1,FALSE,1,unknown,FALSE,TRUE,4.040885383,0,betapktrk1dist,-10,5,12546004185
