ZoneNumber,ZoneName,External,xCoordinate,yCoordinate
2462,Other OR,FALSE,-122.902092,44.53197725
2465,Other OR,FALSE,-122.957268,44.51539775
2475,Other OR,FALSE,-122.844155,44.49925126
2487,Other OR,FALSE,-123.196038,44.30862011
2489,Other OR,FALSE,-123.04403,44.4276707
2497,Other OR,FALSE,-122.788934,44.29932651
2498,Other OR,FALSE,-122.769245,44.41275944
2502,Other OR,FALSE,-122.645775,44.39478998
2509,Other OR,FALSE,-122.249865,44.46745465
2512,Other OR,FALSE,-123.389418,44.21266245
2514,Other OR,FALSE,-123.245898,44.20730553
2524,Other OR,FALSE,-122.818758,44.17904726
2528,Other OR,FALSE,-122.644278,44.12334141
2531,Other OR,FALSE,-122.34891,44.1079331
2532,Other OR,FALSE,-122.013441,44.09152658
2533,Other OR,FALSE,-123.488147,43.95742787
2534,Other OR,FALSE,-123.384318,44.0883129
2537,Other OR,FALSE,-123.329397,44.02700185
2544,Other OR,FALSE,-123.168351,43.85567562
2548,Other OR,FALSE,-122.967587,43.84402292
2550,Other OR,FALSE,-123.101902,43.78187991
2556,Other OR,FALSE,-123.011393,43.65547287
2558,Other OR,FALSE,-123.050694,43.78868734
2565,Other OR,FALSE,-122.71196,43.62691572
2566,Other OR,FALSE,-122.880477,43.89669909
2568,Other OR,FALSE,-122.782094,43.98613567
2569,Other OR,FALSE,-122.591235,43.93225861
2573,Other OR,FALSE,-122.514556,43.80858938
2578,Other OR,FALSE,-122.26284,43.69244133
2579,Other OR,FALSE,-123.295554,43.41994833
2582,Other OR,FALSE,-123.256434,43.62106959
2584,Other OR,FALSE,-123.555929,43.70119282
2589,Other OR,FALSE,-123.116452,43.41281276
2598,Other OR,FALSE,-123.559571,42.89910869
2599,Other OR,FALSE,-123.590335,43.35215431
2601,Other OR,FALSE,-123.459269,43.19130772
2603,Other OR,FALSE,-123.379999,43.30656728
2605,Other OR,FALSE,-123.372324,43.22457943
2613,Other OR,FALSE,-123.301922,43.24645506
2616,Other OR,FALSE,-122.758189,43.32973849
2617,Other OR,FALSE,-122.22091,43.26140875
2618,Other OR,FALSE,-123.162462,43.1479313
2620,Other OR,FALSE,-123.327922,43.1458557
2623,Other OR,FALSE,-123.354124,43.20523166
2638,Other OR,FALSE,-123.400344,43.13207069
2654,Other OR,FALSE,-123.285562,43.00519866
2658,Other OR,FALSE,-123.333979,42.98819543
2662,Other OR,FALSE,-123.208506,42.94460493
2664,Other OR,FALSE,-122.719237,43.01495314
2666,Other OR,FALSE,-123.170444,42.80149755
2670,Other OR,FALSE,-123.685129,42.56086169
2671,Other OR,FALSE,-123.177636,42.63294377
2672,Other OR,FALSE,-123.428796,42.53477108
2678,Other OR,FALSE,-123.232982,42.41830701
2679,Other OR,FALSE,-123.312053,42.43129951
2683,Other OR,FALSE,-123.344972,42.45233963
2692,Other OR,FALSE,-123.376559,42.42152006
2696,Other OR,FALSE,-123.431212,42.42675262
2699,Other OR,FALSE,-123.342458,42.37805808
2711,Other OR,FALSE,-122.896263,42.54618715
2712,Other OR,FALSE,-123.061338,42.46859711
2721,Other OR,FALSE,-122.651809,42.60005946
2722,Other OR,FALSE,-122.465638,42.78768358
2724,Other OR,FALSE,-122.480643,42.50100595
2726,Other OR,FALSE,-122.79977,42.73705162
2727,Other OR,FALSE,-122.519729,42.3092921
2732,Other OR,FALSE,-123.492393,42.26194566
2733,Other OR,FALSE,-123.718956,42.29451892
2735,Other OR,FALSE,-123.164229,42.16455717
2740,Other OR,FALSE,-123.630502,42.18135438
2742,Other OR,FALSE,-123.56322,42.06957937
2756,Other OR,FALSE,-122.650356,42.17779131
2759,Other OR,FALSE,-122.462294,42.11198937
2767,Other OR,FALSE,-122.70228,42.19020872
2772,Other OR,FALSE,-122.719908,42.18269413
2779,Other OR,FALSE,-122.802474,42.11241335
2782,Other OR,FALSE,-121.771217,45.63812911
2783,Other OR,FALSE,-121.643906,45.44369427
2784,Other OR,FALSE,-121.520583,45.60283337
2787,Other OR,FALSE,-121.536306,45.69566167
2800,Other OR,FALSE,-121.15085,45.59668542
2807,Other OR,FALSE,-121.216302,45.60596163
2817,Other OR,FALSE,-121.309049,45.55531884
2821,Other OR,FALSE,-121.078381,45.45633767
2822,Other OR,FALSE,-120.784272,44.98037691
2823,Other OR,FALSE,-121.169518,45.18660719
2824,Other OR,FALSE,-121.44895,45.0379213
2825,Other OR,FALSE,-120.649387,45.59109372
2826,Other OR,FALSE,-120.712202,45.2988463
2827,Other OR,FALSE,-120.205212,45.61054189
2828,Other OR,FALSE,-120.213988,45.24984741
2829,Other OR,FALSE,-120.787945,44.64983651
2830,Other OR,FALSE,-121.165832,44.66566575
2831,Other OR,FALSE,-121.114295,44.64079144
2836,Other OR,FALSE,-121.591499,44.46698794
2837,Other OR,FALSE,-121.244433,44.46526814
2839,Other OR,FALSE,-121.496769,44.72333779
2841,Other OR,FALSE,-120.192634,44.94643917
2842,Other OR,FALSE,-119.961142,44.63756752
2843,Other OR,FALSE,-121.016293,44.25284971
2846,Other OR,FALSE,-120.575169,44.40185661
2847,Other OR,FALSE,-120.848768,44.33454337
2848,Other OR,FALSE,-120.891749,44.27473638
2857,Other OR,FALSE,-120.557675,44.06982013
2859,Other OR,FALSE,-119.978411,44.03767465
2860,Other OR,FALSE,-121.360101,44.29083518
2861,Other OR,FALSE,-121.373305,44.15892698
2863,Other OR,FALSE,-121.195042,44.35561695
2866,Other OR,FALSE,-121.163157,44.29270059
2872,Other OR,FALSE,-121.193597,44.21224326
