Activity,ActivityType,LocationDispersionParameter,SizeTermCoefficient,ProductionSubstitutionNesting,InertiaTermCoefficient,InertiaTermConstant,ImporterExporter,Units,FSC Unconstrained,ConstInExchangeSize
sctg13_cms_mine_nonmet_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg14_cms_mine_met_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg15_pcc_coal_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg16_pcc_petr_crude_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg17_pcc_fuel_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg18_pcc_petr_oil_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg19_pcc_coal_prod_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg20_pcc_chem_basic_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg21_pcc_chem_pharma_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg22_pcc_chem_fert_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg23_pcc_chem_prod_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg24_pcc_petr_plast_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg25_fwp_logs_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg26_fwp_wood_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg27_ppp_papr_puplp_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg28_ppp_papr_paper_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg29_ppp_papr_print_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg30_oth_clth_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg31_cms_min_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg32_mit_metl_base_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg33_mit_metl_prod_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg34_mit_mach_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg35_mit_elct_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
