pums_industry_code,pums_occ_code,split_industry_id,split_industry,proportion
180,4010,3,RES_offc_off,1.0
180,4020,3,RES_offc_off,1.0
180,4140,3,RES_offc_off,1.0
180,4220,1,RES_agmin_ag,1.0
180,4230,1,RES_agmin_ag,1.0
180,4250,1,RES_agmin_ag,1.0
180,4340,3,RES_offc_off,1.0
180,4350,3,RES_offc_off,1.0
180,4965,3,RES_offc_off,1.0
180,5000,3,RES_offc_off,1.0
180,5120,3,RES_offc_off,1.0
180,5140,3,RES_offc_off,1.0
180,5260,3,RES_offc_off,1.0
180,5700,3,RES_offc_off,1.0
180,5820,3,RES_offc_off,1.0
180,5860,3,RES_offc_off,1.0
180,5940,3,RES_offc_off,1.0
180,6005,1,RES_agmin_ag,1.0
180,6010,1,RES_agmin_ag,1.0
180,6040,1,RES_agmin_ag,1.0
180,6050,1,RES_agmin_ag,1.0
180,6100,1,RES_agmin_ag,1.0
180,6230,1,RES_agmin_ag,1.0
180,6320,1,RES_agmin_ag,1.0
180,6420,1,RES_agmin_ag,1.0
180,7000,1,RES_agmin_ag,1.0
180,7220,1,RES_agmin_ag,1.0
180,7340,1,RES_agmin_ag,1.0
180,7350,1,RES_agmin_ag,1.0
180,7630,1,RES_agmin_ag,1.0
180,7700,1,RES_agmin_ag,1.0
180,7810,1,RES_agmin_ag,1.0
180,7855,1,RES_agmin_ag,1.0
180,8950,1,RES_agmin_ag,1.0
180,8965,1,RES_agmin_ag,1.0
180,9130,1,RES_agmin_ag,1.0
180,9520,1,RES_agmin_ag,1.0
180,9560,1,RES_agmin_ag,1.0
180,9640,1,RES_agmin_ag,1.0
190,10,3,RES_offc_off,1.0
190,50,3,RES_offc_off,1.0
190,60,3,RES_offc_off,1.0
190,120,3,RES_offc_off,1.0
190,136,3,RES_offc_off,1.0
190,137,3,RES_offc_off,1.0
190,150,3,RES_offc_off,1.0
190,205,3,RES_offc_off,1.0
190,300,3,RES_offc_off,1.0
190,360,3,RES_offc_off,1.0
190,430,3,RES_offc_off,1.0
190,540,3,RES_offc_off,1.0
190,565,3,RES_offc_off,1.0
190,630,3,RES_offc_off,1.0
190,700,3,RES_offc_off,1.0
190,710,3,RES_offc_off,1.0
190,740,3,RES_offc_off,1.0
190,800,3,RES_offc_off,1.0
190,820,3,RES_offc_off,1.0
190,1006,3,RES_offc_off,1.0
190,1030,3,RES_offc_off,1.0
190,1050,3,RES_offc_off,1.0
190,1060,3,RES_offc_off,1.0
190,1107,3,RES_offc_off,1.0
190,1300,3,RES_offc_off,1.0
190,1310,3,RES_offc_off,1.0
190,1360,3,RES_offc_off,1.0
190,1530,3,RES_offc_off,1.0
190,1550,3,RES_offc_off,1.0
190,1560,3,RES_offc_off,1.0
190,1600,3,RES_offc_off,1.0
190,1610,3,RES_offc_off,1.0
190,1640,3,RES_offc_off,1.0
190,1740,3,RES_offc_off,1.0
190,1760,3,RES_offc_off,1.0
190,1860,3,RES_offc_off,1.0
190,1900,3,RES_offc_off,1.0
190,1910,3,RES_offc_off,1.0
190,1965,3,RES_offc_off,1.0
190,2550,3,RES_offc_off,1.0
190,2825,3,RES_offc_off,1.0
190,2900,3,RES_offc_off,1.0
190,3400,3,RES_offc_off,1.0
190,3720,2,RES_forst_log,1.0
190,3740,2,RES_forst_log,1.0
190,3750,2,RES_forst_log,1.0
190,3820,2,RES_forst_log,1.0
190,3850,2,RES_forst_log,1.0
190,3910,2,RES_forst_log,1.0
190,3930,2,RES_forst_log,1.0
190,3955,2,RES_forst_log,1.0
190,4220,2,RES_forst_log,1.0
190,4250,2,RES_forst_log,1.0
190,4430,3,RES_offc_off,1.0
190,4640,3,RES_offc_off,1.0
190,4850,3,RES_offc_off,1.0
190,4965,3,RES_offc_off,1.0
190,5000,3,RES_offc_off,1.0
190,5100,3,RES_offc_off,1.0
190,5120,3,RES_offc_off,1.0
190,5150,3,RES_offc_off,1.0
190,5400,3,RES_offc_off,1.0
190,5520,3,RES_offc_off,1.0
190,5600,3,RES_offc_off,1.0
190,5620,3,RES_offc_off,1.0
190,5700,3,RES_offc_off,1.0
190,5850,3,RES_offc_off,1.0
190,5860,3,RES_offc_off,1.0
190,5940,3,RES_offc_off,1.0
190,6005,2,RES_forst_log,1.0
