year,activity,employment,output
2014,HLTH_care_inst,76049,4468190980
2014,HLTH_hosp_hosp,98751,14259259750
2014,HLTH_othr_off_li,168138,21038141783
2014,HOSP_acc_acc,38077,4007762247
2014,HOSP_eat_ret_acc,234924,14135964706
2014,INFO_info_off,47971,0
2014,INFO_info_off_li,9799,16637218606
2014,K12_k12_k12,163545,13148142294
2014,K12_k12_off,55896,0
2014,MFG_food_hi,15803,12578020458
2014,MFG_food_li,15935,12578020458
2014,MFG_htec_hi,3917,16780957653
2014,MFG_htec_li,3594,16780957653
2014,MFG_hvtw_hi,24484,17917289492
2014,MFG_hvtw_li,24695,17917289492
2014,MFG_lvtw_hi,12310,15245761376
2014,MFG_offc_off,158603,0
2014,MFG_wdppr_hi,30460,11912806649
2014,RES_agmin_ag,102484,20544289008
2014,RES_forst_log,9587,2677036997
2014,RES_offc_off,65564,0
2014,RET_auto_ret,103684,8575834178
2014,RET_nstor_off,48592,2591543009
2014,RET_stor_off,59650,0
2014,RET_stor_ret,240375,19084352929
2014,SERV_bus_off,209702,16476097193
2014,SERV_home_xxx,57185,511359821
2014,SERV_nonp_off_inst,143471,10509241947
2014,SERV_site_li,76663,6386177748
2014,SERV_stor_ret,85978,5743890813
2014,SERV_tech_off,252612,26040718828
2014,TRNS_trns_off,50174,0
2014,TRNS_trns_ware,73729,16414232247
2014,UTL_othr_off,15771,0
2014,UTL_othr_off_li,19015,9334124974
2014,WHSL_offc_off,29605,0
2014,WHSL_whsl_ware,92122,23313244124
2015,CNST_main_xxx,26573,4136787621
2015,CNST_nres_xxx,47516,6612065203
2015,CNST_offc_off,84151,0
2015,CNST_othr_xxx,57833,8820582910
2015,CNST_res_xxx,31917,9200881593
2015,ENGY_elec_hi,5067,10865391692
2015,ENGY_ngas_hi,907,4755396177
2015,ENGY_offc_off,25786,0
2015,ENGY_ptrl_hi,9363,5640711857
2015,ENT_ent_ret,84282,4306752371
2015,FIRE_fnin_off,153052,35948131856
2015,FIRE_real_off,143976,17056428451
2015,GOV_admn_gov,100545,20946866263
2015,GOV_offc_off,160418,0
2015,HIED_hied_off_inst,81304,5172517862
2015,HLTH_care_inst,77871,4665612132
2015,HLTH_hosp_hosp,101106,14887545892
2015,HLTH_othr_off_li,172137,21964411706
2015,HOSP_acc_acc,38208,4134968370
2015,HOSP_eat_ret_acc,236147,14612002181
2015,INFO_info_off,49030,0
2015,INFO_info_off_li,10016,17029144265
2015,K12_k12_k12,163417,13693142404
2015,K12_k12_off,55852,0
2015,MFG_food_hi,15889,12892413291
2015,MFG_food_li,16022,12892413291
2015,MFG_htec_hi,3985,17920665620
2015,MFG_htec_li,3657,17920665620
2015,MFG_hvtw_hi,24794,18637278164
2015,MFG_hvtw_li,25007,18637278164
2015,MFG_lvtw_hi,12333,15534052883
2015,MFG_offc_off,161043,0
2015,MFG_wdppr_hi,31871,12491374492
2015,RES_agmin_ag,100559,21113339088
2015,RES_forst_log,9526,2744217297
2015,RES_offc_off,64395,0
2015,RET_auto_ret,104242,8879237513
2015,RET_nstor_off,49248,2661516494
2015,RET_stor_off,60369,0
2015,RET_stor_ret,243271,19654434050
2015,SERV_bus_off,220785,17370816782
2015,SERV_home_xxx,57509,530918455
2015,SERV_nonp_off_inst,145736,10906416614
2015,SERV_site_li,79661,6578465246
2015,SERV_stor_ret,87153,5937651080
2015,SERV_tech_off,263422,27057247982
2015,TRNS_trns_off,51309,0
2015,TRNS_trns_ware,75397,16798558479
2015,UTL_othr_off,16047,0
2015,UTL_othr_off_li,19347,9586388397
2015,WHSL_offc_off,30113,0
2015,WHSL_whsl_ware,93700,24073085306
2016,CNST_main_xxx,27766,4247422183
2016,CNST_nres_xxx,49650,6864993175
2016,CNST_offc_off,87930,0
2016,CNST_othr_xxx,60429,9158012949
2016,CNST_res_xxx,33350,9273570773
2016,ENGY_elec_hi,5083,11262575767
2016,ENGY_ngas_hi,917,4974365840
2016,ENGY_offc_off,26113,0
2016,ENGY_ptrl_hi,9518,5804332423
2016,ENT_ent_ret,84486,4430468285
2016,FIRE_fnin_off,153205,37026834606
2016,FIRE_real_off,144892,17452032572
2016,GOV_admn_gov,100786,21350464727
2016,GOV_offc_off,160802,0
2016,HIED_hied_off_inst,81512,5366717890
2016,HLTH_care_inst,80040,4832495752
2016,HLTH_hosp_hosp,103951,15424297927
2016,HLTH_othr_off_li,177004,22758029039
2016,HOSP_acc_acc,38246,4246573380
2016,HOSP_eat_ret_acc,236701,15027711474
2016,INFO_info_off,49717,0
2016,INFO_info_off_li,10156,17438632347
2016,K12_k12_k12,163908,14209755454
2016,K12_k12_off,56020,0
2016,MFG_food_hi,15994,13167247258
2016,MFG_food_li,16127,13167247258
2016,MFG_htec_hi,4063,19178866119
2016,MFG_htec_li,3728,19178866119
2016,MFG_hvtw_hi,24953,19258233449
2016,MFG_hvtw_li,25168,19258233449
2016,MFG_lvtw_hi,12382,15875229411
2016,MFG_offc_off,162747,0
2016,MFG_wdppr_hi,32312,12818989480
2016,RES_agmin_ag,99190,21736728364
2016,RES_forst_log,9383,2839080183
2016,RES_offc_off,63512,0
2016,RET_auto_ret,104829,9210594406
2016,RET_nstor_off,49989,2749789864
2016,RET_stor_off,61166,0
2016,RET_stor_ret,246482,20367449314
2016,SERV_bus_off,230929,18020276326
2016,SERV_home_xxx,57777,547740151
2016,SERV_nonp_off_inst,148254,11236620837
2016,SERV_site_li,82660,6709649074
2016,SERV_stor_ret,88368,6103903497
2016,SERV_tech_off,270525,28175375000
2016,TRNS_trns_off,52577,0
2016,TRNS_trns_ware,77260,17168974858
2016,UTL_othr_off,16439,0
2016,UTL_othr_off_li,19821,9771835668
2016,WHSL_offc_off,30653,0
2016,WHSL_whsl_ware,95380,24763467641
2017,CNST_main_xxx,28357,4303946488
2017,CNST_nres_xxx,50706,6995851723
2017,CNST_offc_off,89800,0
2017,CNST_othr_xxx,61714,9332454183
2017,CNST_res_xxx,34059,9306886689
2017,ENGY_elec_hi,5103,11688226344
2017,ENGY_ngas_hi,928,5206728158
2017,ENGY_offc_off,26421,0
2017,ENGY_ptrl_hi,9659,5975802871
2017,ENT_ent_ret,84359,4537733759
2017,FIRE_fnin_off,153531,38092741716
2017,FIRE_real_off,145739,17884891486
2017,GOV_admn_gov,101363,21741822009
2017,GOV_offc_off,161722,0
2017,HIED_hied_off_inst,81990,5547470562
2017,HLTH_care_inst,82043,5007001642
2017,HLTH_hosp_hosp,106530,15977935188
2017,HLTH_othr_off_li,181378,23573546451
2017,HOSP_acc_acc,38216,4338810668
