year,trade_activity,dollars
2011,government administration_expt,3602561770
2011,government administration_impt,3659193908
2011,health services_expt,6576467547
2011,health services_impt,1262564245
2011,higher education_expt,956984339
2011,higher education_impt,855782580
2011,personal and other services and amusements_expt,4915003613
2011,personal and other services and amusements_impt,1780934503
2011,retail trade_expt,4235848796
2011,retail trade_impt,2009974287
2011,sctg01_fkp_lvsk_expt,430253012
2011,sctg01_fkp_lvsk_impt,279164596
2011,sctg02_fkp_agri_cereal_expt,519889429
2011,sctg02_fkp_agri_cereal_impt,640949375
2011,sctg03_fkp_agri_other_expt,7108398390
2011,sctg03_fkp_agri_other_impt,1164834966
2011,sctg04_fkp_feed_expt,169607243
2011,sctg04_fkp_feed_impt,795563668
2011,sctg05_fkp_food_meat_expt,2212694272
2011,sctg05_fkp_food_meat_impt,3057054300
2011,sctg06_fkp_agri_grain_expt,837912937
2011,sctg06_fkp_agri_grain_impt,893513055
2011,sctg07_fkp_food_prep_expt,10225531043
2011,sctg07_fkp_food_prep_impt,5595606088
2011,sctg08_fkp_food_alc_expt,1285203292
2011,sctg08_fkp_food_alc_impt,1474824242
2011,sctg10_cms_clay_expt,104232791
2011,sctg10_cms_clay_impt,67612265
2011,sctg11_cms_sand_expt,177967594
2011,sctg11_cms_sand_impt,17110234
2011,sctg13_cms_mine_nonmet_expt,37008739
2011,sctg13_cms_mine_nonmet_impt,149586048
2011,sctg14_cms_mine_met_expt,1476999963
2011,sctg14_cms_mine_met_impt,556751155
2011,sctg15_pcc_coal_expt,38210341
2011,sctg15_pcc_coal_impt,763302785
2011,sctg16_pcc_petr_crude_expt,260935433
2011,sctg16_pcc_petr_crude_impt,1688570316
2011,sctg17_pcc_fuel_expt,22982593
2011,sctg17_pcc_fuel_impt,5798854502
2011,sctg18_pcc_petr_oil_expt,11491296
2011,sctg18_pcc_petr_oil_impt,2899427251
2011,sctg19_pcc_coal_prod_expt,210606593
2011,sctg19_pcc_coal_prod_impt,4184837203
2011,sctg20_pcc_chem_basic_expt,1177411528
2011,sctg20_pcc_chem_basic_impt,1961761841
2011,sctg21_pcc_chem_pharma_expt,760064520
2011,sctg21_pcc_chem_pharma_impt,6409049033
2011,sctg22_pcc_chem_fert_expt,190852110
2011,sctg22_pcc_chem_fert_impt,416357071
2011,sctg23_pcc_chem_prod_expt,1050878849
2011,sctg23_pcc_chem_prod_impt,3411917970
2011,sctg24_pcc_petr_plast_expt,2141250071
2011,sctg24_pcc_petr_plast_impt,4546705763
2011,sctg25_fwp_logs_expt,1203559816
2011,sctg25_fwp_logs_impt,336285013
2011,sctg26_fwp_wood_expt,4192127675
2011,sctg26_fwp_wood_impt,608896868
2011,sctg27_ppp_papr_puplp_expt,4570589208
2011,sctg27_ppp_papr_puplp_impt,870753896
2011,sctg28_ppp_papr_paper_expt,793574598
2011,sctg28_ppp_papr_paper_impt,1304527050
2011,sctg29_ppp_papr_print_expt,957243816
2011,sctg29_ppp_papr_print_impt,1754552877
2011,sctg30_oth_clth_expt,544888957
2011,sctg30_oth_clth_impt,3596767482
2011,sctg31_cms_min_expt,882107565
2011,sctg31_cms_min_impt,1321970812
2011,sctg32_mit_metl_base_expt,3403287598
2011,sctg32_mit_metl_base_impt,3754565124
2011,sctg33_mit_metl_prod_expt,2600742775
2011,sctg33_mit_metl_prod_impt,2708668344
2011,sctg34_mit_mach_expt,4813453404
2011,sctg34_mit_mach_impt,7511349623
2011,sctg35_mit_elct_expt,23130294842
2011,sctg35_mit_elct_impt,11719300245
2011,sctg36_mit_tran_expt,3616058491
2011,sctg36_mit_tran_impt,7278518415
2011,sctg37_mit_inst_transp_expt,2809056892
2011,sctg37_mit_inst_transp_impt,2217881091
2011,sctg38_mit_inst_prec_expt,2247326612
2011,sctg38_mit_inst_prec_impt,3240756016
2011,sctg39_oth_furn_expt,1151713987
2011,sctg39_oth_furn_impt,1817897806
2011,sctg40_oth_misc_expt,1836817585
2011,sctg40_oth_misc_impt,4897550603
2011,sctg41_waste_scrap_expt,528688872
2011,sctg41_waste_scrap_impt,510213005
2011,transport_expt,3275215512
2011,transport_impt,3202244535
2011,wholesale trade_expt,3343520366
2011,wholesale trade_impt,2106991193
2012,accommodations_expt,3463202107
2012,accommodations_impt,2647823164
2012,communications and utilities_expt,5897804880
2012,communications and utilities_impt,8250579103
2012,construction_expt,9215404658
2012,construction_impt,13076548215
2012,education reports to sponsors_expt,110381553
2012,education reports to sponsors_impt,38908477
2012,energy_expt,3462084417
2012,energy_impt,1213801312
2012,entertainment services_expt,431499124
2012,entertainment services_impt,1138721814
2012,fire business and professional services_expt,8750759798
2012,fire business and professional services_impt,30968159522
2012,food services_expt,764513894
2012,food services_impt,347873401
2012,government administration_expt,3723415892
2012,government administration_impt,3703642760
2012,health services_expt,6728255763
2012,health services_impt,1277971591
2012,higher education_expt,969340583
2012,higher education_impt,866965977
2012,personal and other services and amusements_expt,5074215417
2012,personal and other services and amusements_impt,1807495264
2012,retail trade_expt,4383504254
2012,retail trade_impt,2046727570
2012,sctg01_fkp_lvsk_expt,458663554
2012,sctg01_fkp_lvsk_impt,288137754
2012,sctg02_fkp_agri_cereal_expt,548696395
2012,sctg02_fkp_agri_cereal_impt,660376455
2012,sctg03_fkp_agri_other_expt,7573353131
2012,sctg03_fkp_agri_other_impt,1201220816
2012,sctg04_fkp_feed_expt,177677986
2012,sctg04_fkp_feed_impt,814476055
2012,sctg05_fkp_food_meat_expt,2258189445
2012,sctg05_fkp_food_meat_impt,3110467311
2012,sctg06_fkp_agri_grain_expt,848656020
2012,sctg06_fkp_agri_grain_impt,907491993
2012,sctg07_fkp_food_prep_expt,10422347220
2012,sctg07_fkp_food_prep_impt,5697526253
2012,sctg08_fkp_food_alc_expt,1341012248
2012,sctg08_fkp_food_alc_impt,1496681626
2012,sctg10_cms_clay_expt,112270674
2012,sctg10_cms_clay_impt,70070065
2012,sctg11_cms_sand_expt,191356136
2012,sctg11_cms_sand_impt,17910211
2012,sctg13_cms_mine_nonmet_expt,39876388
2012,sctg13_cms_mine_nonmet_impt,155252104
2012,sctg14_cms_mine_met_expt,1488437246
2012,sctg14_cms_mine_met_impt,572849660
2012,sctg15_pcc_coal_expt,38474582
2012,sctg15_pcc_coal_impt,792969587
2012,sctg16_pcc_petr_crude_expt,272219979
2012,sctg16_pcc_petr_crude_impt,1768005991
2012,sctg17_pcc_fuel_expt,23964948
2012,sctg17_pcc_fuel_impt,5923306873
2012,sctg18_pcc_petr_oil_expt,11982474
2012,sctg18_pcc_petr_oil_impt,2961653436
2012,sctg19_pcc_coal_prod_expt,218202440
2012,sctg19_pcc_coal_prod_impt,4294621746
2012,sctg20_pcc_chem_basic_expt,1208081069
2012,sctg20_pcc_chem_basic_impt,2055704851
2012,sctg21_pcc_chem_pharma_expt,785624757
2012,sctg21_pcc_chem_pharma_impt,6510018899
2012,sctg22_pcc_chem_fert_expt,195826102
2012,sctg22_pcc_chem_fert_impt,433030005
2012,sctg23_pcc_chem_prod_expt,1087348551
2012,sctg23_pcc_chem_prod_impt,3515411308
2012,sctg24_pcc_petr_plast_expt,2219304334
2012,sctg24_pcc_petr_plast_impt,4702668658
2012,sctg25_fwp_logs_expt,1220797684
2012,sctg25_fwp_logs_impt,336215125
2012,sctg26_fwp_wood_expt,4104019739
2012,sctg26_fwp_wood_impt,615508498
2012,sctg27_ppp_papr_puplp_expt,4657816074
2012,sctg27_ppp_papr_puplp_impt,892568185
2012,sctg28_ppp_papr_paper_expt,814374973
2012,sctg28_ppp_papr_paper_impt,1335228376
2012,sctg29_ppp_papr_print_expt,993682217
2012,sctg29_ppp_papr_print_impt,1786713506
2012,sctg30_oth_clth_expt,560950428
2012,sctg30_oth_clth_impt,3654676222
2012,sctg31_cms_min_expt,919949475
2012,sctg31_cms_min_impt,1362832134
2012,sctg32_mit_metl_base_expt,3650728649
2012,sctg32_mit_metl_base_impt,4026967911
2012,sctg33_mit_metl_prod_expt,2823289923
2012,sctg33_mit_metl_prod_impt,2820997077
2012,sctg34_mit_mach_expt,5246230303
2012,sctg34_mit_mach_impt,7742399339
2012,sctg35_mit_elct_expt,25073457336
2012,sctg35_mit_elct_impt,12160272657
2012,sctg36_mit_tran_expt,3882245490
2012,sctg36_mit_tran_impt,7461088992
2012,sctg37_mit_inst_transp_expt,2821878237
2012,sctg37_mit_inst_transp_impt,2240415089
2012,sctg38_mit_inst_prec_expt,2360092695
2012,sctg38_mit_inst_prec_impt,3297565621
2012,sctg39_oth_furn_expt,1182166724
2012,sctg39_oth_furn_impt,1847035238
2012,sctg40_oth_misc_expt,1901754726
2012,sctg40_oth_misc_impt,4977834121
2012,sctg41_waste_scrap_expt,537100629
2012,sctg41_waste_scrap_impt,535547829
2012,transport_expt,3326417108
2012,transport_impt,3272370255
2012,wholesale trade_expt,3429618240
2012,wholesale trade_impt,2166534386
2013,accommodations_expt,3571289851
2013,accommodations_impt,2701241473
2013,communications and utilities_expt,6062981516
2013,communications and utilities_impt,8457538506
2013,construction_expt,10084638880
2013,construction_impt,13245873310
2013,education reports to sponsors_expt,113538522
2013,education reports to sponsors_impt,39390622
2013,energy_expt,3631087055
2013,energy_impt,1241024792
2013,entertainment services_expt,447682212
2013,entertainment services_impt,1163300684
2013,fire business and professional services_expt,9042087184
2013,fire business and professional services_impt,31837725712
2013,food services_expt,790855798
2013,food services_impt,353525475
2013,government administration_expt,3821896156
2013,government administration_impt,3750259868
2013,health services_expt,6918656197
2013,health services_impt,1293899986
2013,higher education_expt,987623501
2013,higher education_impt,878239628
2013,personal and other services and amusements_expt,5272956215
2013,personal and other services and amusements_impt,1839212949
2013,retail trade_expt,4513147180
2013,retail trade_impt,2089557901
2013,sctg01_fkp_lvsk_expt,475887257
2013,sctg01_fkp_lvsk_impt,294871317
2013,sctg02_fkp_agri_cereal_expt,567802252
2013,sctg02_fkp_agri_cereal_impt,674516735
2013,sctg03_fkp_agri_other_expt,7856649608
2013,sctg03_fkp_agri_other_impt,1227985154
2013,sctg04_fkp_feed_expt,182804108
2013,sctg04_fkp_feed_impt,829653462
2013,sctg05_fkp_food_meat_expt,2284982912
2013,sctg05_fkp_food_meat_impt,3164403466
2013,sctg06_fkp_agri_grain_expt,857480545
2013,sctg06_fkp_agri_grain_impt,921203598
2013,sctg07_fkp_food_prep_expt,10584474467
2013,sctg07_fkp_food_prep_impt,5790802595
2013,sctg08_fkp_food_alc_expt,1380461135
2013,sctg08_fkp_food_alc_impt,1518577667
2013,sctg10_cms_clay_expt,118674031
2013,sctg10_cms_clay_impt,74376136
2013,sctg11_cms_sand_expt,202211895
2013,sctg11_cms_sand_impt,18889820
2013,sctg13_cms_mine_nonmet_expt,42163898
2013,sctg13_cms_mine_nonmet_impt,159838121
2013,sctg14_cms_mine_met_expt,1538995298
2013,sctg14_cms_mine_met_impt,590264593
2013,sctg15_pcc_coal_expt,39770106
2013,sctg15_pcc_coal_impt,822216896
2013,sctg16_pcc_petr_crude_expt,282846709
2013,sctg16_pcc_petr_crude_impt,1868852524
2013,sctg17_pcc_fuel_expt,24944570
2013,sctg17_pcc_fuel_impt,6065741006
2013,sctg18_pcc_petr_oil_expt,12472285
2013,sctg18_pcc_petr_oil_impt,3032870503
2013,sctg19_pcc_coal_prod_expt,225634687
2013,sctg19_pcc_coal_prod_impt,4417921618
2013,sctg20_pcc_chem_basic_expt,1237099690
2013,sctg20_pcc_chem_basic_impt,2141432056
2013,sctg21_pcc_chem_pharma_expt,827109140
2013,sctg21_pcc_chem_pharma_impt,6624563023
2013,sctg22_pcc_chem_fert_expt,197414535
2013,sctg22_pcc_chem_fert_impt,445131291
2013,sctg23_pcc_chem_prod_expt,1114187671
2013,sctg23_pcc_chem_prod_impt,3612658839
2013,sctg24_pcc_petr_plast_expt,2285590012
2013,sctg24_pcc_petr_plast_impt,4875699336
2013,sctg25_fwp_logs_expt,1189343722
2013,sctg25_fwp_logs_impt,341349774
2013,sctg26_fwp_wood_expt,4377088971
2013,sctg26_fwp_wood_impt,645461124
2013,sctg27_ppp_papr_puplp_expt,4577688675
2013,sctg27_ppp_papr_puplp_impt,908206702
2013,sctg28_ppp_papr_paper_expt,826510302
2013,sctg28_ppp_papr_paper_impt,1364562385
2013,sctg29_ppp_papr_print_expt,1038588131
2013,sctg29_ppp_papr_print_impt,1826119827
2013,sctg30_oth_clth_expt,573262687
2013,sctg30_oth_clth_impt,3717770812
2013,sctg31_cms_min_expt,966293780
2013,sctg31_cms_min_impt,1428597022
2013,sctg32_mit_metl_base_expt,3746845598
2013,sctg32_mit_metl_base_impt,4259035557
2013,sctg33_mit_metl_prod_expt,2943523887
2013,sctg33_mit_metl_prod_impt,2954016748
2013,sctg34_mit_mach_expt,5609279270
2013,sctg34_mit_mach_impt,8010056738
2013,sctg35_mit_elct_expt,27097056208
2013,sctg35_mit_elct_impt,12646389213
2013,sctg36_mit_tran_expt,4162607727
2013,sctg36_mit_tran_impt,7660734218
2013,sctg37_mit_inst_transp_expt,2874151511
2013,sctg37_mit_inst_transp_impt,2275220053
2013,sctg38_mit_inst_prec_expt,2510247027
2013,sctg38_mit_inst_prec_impt,3363360761
2013,sctg39_oth_furn_expt,1243182145
2013,sctg39_oth_furn_impt,1895048067
