taz,commodity,quantity
55,FLR Heavy Industry,99
55,FLR Hospital,313.46
55,FLR Institutional,43737.75
55,FLR Light Industry,39168.54
55,FLR Office,195449.9
55,FLR Retail,179518.12
55,FLR Warehouse,100
55,FLR Agriculture,100
55,FLR Logging,100
56,FLR MH,3586.6
56,FLR MF,4105.9
56,FLR AT,6645.7
56,FLR SFD,1563428.3
56,FLR RRMH,10000
56,FLR RRSFD,219752.4
56,FLR Accommodation,36228.23
56,FLR Government Support,269.85
56,FLR K12,52201.85
56,FLR Heavy Industry,96
56,FLR Hospital,415.6
56,FLR Institutional,2155.71
56,FLR Light Industry,100
56,FLR Office,57392.81
56,FLR Retail,168053.05
56,FLR Warehouse,298
56,FLR Agriculture,100
56,FLR Logging,100
57,FLR MH,2221.9
57,FLR MF,134
57,FLR AT,2146.5
57,FLR SFD,31731.5
57,FLR RRMH,3729
57,FLR RRSFD,82240.3
57,FLR Accommodation,126.99
57,FLR Government Support,99.99
57,FLR K12,44634.51
57,FLR Heavy Industry,96
57,FLR Hospital,109
57,FLR Institutional,1455.07
57,FLR Light Industry,100
57,FLR Office,143
57,FLR Retail,107
57,FLR Warehouse,298
57,FLR Agriculture,100
57,FLR Logging,100
58,FLR MH,3607.1
58,FLR MF,4195.4
58,FLR AT,9423.5
58,FLR SFD,316402.4
58,FLR RRMH,10000
58,FLR RRSFD,219752.4
58,FLR Accommodation,4021.37
58,FLR Government Support,292.75
58,FLR K12,48469.95
58,FLR Heavy Industry,96
58,FLR Hospital,457.26
58,FLR Institutional,3571.18
58,FLR Light Industry,100
58,FLR Office,19690.09
58,FLR Retail,12926.64
