Activity,ZoneNumber,Quantity,TechnologyLogsum,SizeUtility,ZoneConstant,Constrained,ConstraintValue,LocationUtility,FullEmbeddedSize,Size
CNST_nres_xxx,6006,0.0,-6.055858907742215,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_othr_xxx,1,7759112.888888887,6.306081689477038,0.0,0.0,true,7759112.888888887,6.306081689477038,0.0,1.0
CNST_othr_xxx,17,969889.1111111109,6.308279429960635,0.0,0.0,true,969889.1111111109,6.308279429960635,0.0,1.0
CNST_othr_xxx,6001,0.0,-6.312357580781116,0.0,0.0,true,0.0,-6.312357580781116,0.0,1.0
CNST_othr_xxx,6002,0.0,-7.207363976786744,0.0,0.0,true,0.0,-7.207363976786744,0.0,1.0
CNST_othr_xxx,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,NaN,1.0
CNST_othr_xxx,6004,0.0,-6.807824401168284,0.0,0.0,true,0.0,-6.807824401168284,0.0,1.0
CNST_othr_xxx,6005,0.0,-6.271045307153486,0.0,0.0,true,0.0,-6.271045307153486,0.0,1.0
CNST_othr_xxx,6006,0.0,-6.225985045364973,0.0,0.0,true,0.0,-6.225985045364973,0.0,1.0
CNST_res_xxx,1,5991928.0,6.103733504940246,2.731394101163113,0.0,true,5991928.0,8.83512760610336,0.0,211918.890625
CNST_res_xxx,17,748991.0,6.1027085614593615,2.3658392032492603,0.0,true,748991.0,8.468547764708621,0.0,41052.9296875
CNST_res_xxx,6001,0.0,-6.464753114987767,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_res_xxx,6002,0.0,-7.35674406053148,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_res_xxx,6003,0.0,-Infinity,-Infinity,0.0,true,0.0,-Infinity,NaN,0.0
CNST_res_xxx,6004,0.0,-6.959260793284288,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_res_xxx,6005,0.0,-6.422232750699092,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_res_xxx,6006,0.0,-6.378705149096375,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_offc_off,1,2369943.999999974,1.6244064873562123,0.0,0.0,true,2369943.999999974,1.6244064873562123,-0.02623230326514059,1.0
CNST_offc_off,17,296242.99999999674,1.114912675734947,0.0,0.0,true,296242.99999999674,1.114912675734947,-0.4893596190070706,1.0
CNST_offc_off,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
CNST_offc_off,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
CNST_offc_off,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
CNST_offc_off,6004,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
CNST_offc_off,6005,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
CNST_offc_off,6006,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_hi,1,9626425.777777772,2.7773550639871836,0.0,0.0,true,9626425.777777772,2.7773550639871836,-0.007181892585125027,1.0
MFG_food_hi,17,1203303.2222222215,2.6591502803572404,0.0,0.0,true,1203303.2222222215,2.6591502803572404,-0.13397711149051394,1.0
MFG_food_hi,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_hi,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_hi,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,NaN,1.0
MFG_food_hi,6004,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_hi,6005,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_hi,6006,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_li,1,9626425.777777772,2.7792988169372874,0.0,0.0,true,9626425.777777772,2.7792988169372874,-0.007181892585125027,1.0
MFG_food_li,17,1203303.2222222215,2.661064327560358,0.0,0.0,true,1203303.2222222215,2.661064327560358,-0.13397711149051394,1.0
MFG_food_li,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_li,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_li,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,NaN,1.0
MFG_food_li,6004,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_li,6005,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_food_li,6006,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_hi,1,1.1612344888888888E7,2.606047464380376,0.0,0.0,true,1.1612344888888888E7,2.606047464380376,-0.008597301992423034,1.0
MFG_htec_hi,17,1451543.111111111,2.468278801746937,0.0,0.0,true,1451543.111111111,2.468278801746937,-0.16038135824281285,1.0
MFG_htec_hi,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_hi,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_hi,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,NaN,1.0
MFG_htec_hi,6004,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_hi,6005,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_hi,6006,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_li,1,1.1612344888888888E7,2.605731749707508,0.0,0.0,true,1.1612344888888888E7,2.605731749707508,-0.008597301992422146,1.0
MFG_htec_li,17,1451543.111111111,2.468015856014496,0.0,0.0,true,1451543.111111111,2.468015856014496,-0.1603813582428124,1.0
MFG_htec_li,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_li,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_li,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,NaN,1.0
MFG_htec_li,6004,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_li,6005,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_htec_li,6006,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_hi,1,1.2836916444444427E7,2.1072491530278037,0.0,0.0,true,1.2836916444444427E7,2.1072491530278037,-0.00859730199242259,1.0
MFG_hvtw_hi,17,1604614.5555555534,1.969280047689362,0.0,0.0,true,1604614.5555555534,1.969280047689362,-0.16038135824281263,1.0
MFG_hvtw_hi,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_hi,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_hi,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,NaN,1.0
MFG_hvtw_hi,6004,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_hi,6005,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_hi,6006,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_li,1,1.2836916444444427E7,2.1306444694525033,0.0,0.0,true,1.2836916444444427E7,2.1306444694525033,-0.00859730199242259,1.0
MFG_hvtw_li,17,1604614.5555555534,1.9908957613847609,0.0,0.0,true,1604614.5555555534,1.9908957613847609,-0.16038135824281263,1.0
MFG_hvtw_li,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_li,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_li,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,NaN,1.0
MFG_hvtw_li,6004,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_li,6005,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_hvtw_li,6006,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_lvtw_hi,1,1.153667911111111E7,2.8696863128529095,0.0,0.0,true,1.153667911111111E7,2.8696863128529095,-0.00859730199242259,1.0
MFG_lvtw_hi,17,1442084.8888888888,2.7581232698072062,0.0,0.0,true,1442084.8888888888,2.7581232698072062,-0.16038135824281285,1.0
MFG_lvtw_hi,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
MFG_lvtw_hi,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
