"","FLR_Accommodation","FLR_Agriculture","FLR_AT","FLR_Government_Support","FLR_Heavy_Industry","FLR_Hospital","FLR_Institutional","FLR_K12","FLR_Light_Industry","FLR_Logging","FLR_MF","FLR_MH","FLR_Office","FLR_Retail","FLR_RRMH","FLR_RRSFD","FLR_SFD","FLR_Warehouse"
"2756",14731.7598257,177560000,2398.45864626,0,13324.103662,0,1963.72422793,0,17080.0460004,0,1926.41624078,16258.7956842,18788.6337023,10516.1044449,128237.841626,643782.734466,55785.8969003,55876.6738294
"2757",7039.31132561,3201504100,280.591849945,0,0,0,0,0,17873.9884032,5528500002,3372.33464374,4190.25158781,4193.16998192,0,59012.130587,1339125.4711,143585.092214,1538.62918778
"2758",12657.2200246,59343373.37,6696.18818643,0,3288.97210298,0,497.649234532,0,3430.37856433,0,11653.3872349,13630.9460344,5399.33526135,33570.5484574,93471.0854943,1261417.46957,87775.7491886,0
"2759",0,1937391137,185.895535498,0,1400.23502353,0,0,0,2563.97943605,1165800000,3152.0557916,2520.59451188,603.671367036,0,21224.3253687,401640.192395,69194.9159696,0
"2760",13514.2752819,601410000,185.895535498,0,0,0,1094.08965399,748.195568089,0,2682200000,5930.72281192,368.317570213,792.147947695,1252.37387402,3099.41092349,331261.499008,57069.9945841,0
"2761",0,12153240,99776.9444518,184.115282067,0,0,5155.28260286,151500.609847,457.203622561,2178000,103971.625325,66003.6376772,13020.5878319,26927.7904921,0,147392.6908,907828.494575,46268.3379471
"2762",15787.8773826,0,0,0,0,0,0,0,0,4356000,0,179263.112721,4774.65382435,913.819791228,149.899700309,12137.3587633,80415.6246447,0
"2763",0,0,208.308657356,0,976.265824286,0,7369.10450701,5884.29627762,1706.97954458,0,8958.76465378,68709.1442412,18504.4106796,101390.58005,149.899700309,96660.4010134,640582.857386,4473.54771512
"2764",1362.5017768,16443262.05,214291.907657,0,47241.8602637,0,35415.1280877,4384.06621176,146644.177797,0,193389.890357,527.755054823,34110.920214,27777.2145865,0,169256.821529,1081695.55304,1620.5251262
"2765",58424.8202181,0,364014.559174,3571.45704408,36553.9892188,0,31257.8691814,32916.6953001,75263.6711071,29137.49901,171617.962889,250279.899762,119746.425564,400467.393866,0,191191.739838,1221802.98051,8398.91567284
"2766",0,0,232729.799871,0,6450.70397979,0,13291.312406,3740.5335568,43671.4127804,0,452577.139992,62920.7638731,42205.9431931,98148.9694601,0,115961.450826,741226.68005,0
"2767",42442.1152961,0,74363.643112,0,0,0,4768.77694241,39778.4352603,32641.1654701,0,611528.671244,0,16557.0994731,92492.1427061,0,59557.4368708,303542.41338,0
"2768",2496.59501739,0,1131.33381126,293.752883018,0,0,103842.03053,0,2804.0118368,0,85114.2627613,314.045517159,36579.9151019,19696.1798457,0,41455.565302,211283.812749,0
