Activity,CompositeUtility,Size
sctg22_pcc_chem_fert_expt,5.974672912500006,6.9949248E8
sctg23_pcc_chem_prod_expt,6.759614939199534,1.64959936E9
sctg24_pcc_petr_plast_expt,6.804229158948854,3.2492288E9
sctg25_fwp_logs_expt,7.917943052804039,3.23493632E9
sctg26_fwp_wood_expt,7.488211991053052,6.456998912E9
sctg27_ppp_papr_puplp_expt,8.147223481232658,5.580698624E9
sctg28_ppp_papr_paper_expt,6.225913015018271,1.8314912E9
sctg29_ppp_papr_print_expt,6.476406088167662,1.705409792E9
sctg30_oth_clth_expt,6.719180721482147,8.22096448E8
sctg31_cms_min_expt,6.167882546596745,2.273122304E9
sctg32_mit_metl_base_expt,6.685441393181401,4.970672128E9
sctg33_mit_metl_prod_expt,6.699377137081763,4.028276224E9
sctg34_mit_mach_expt,7.863661459805215,5.745210368E9
sctg35_mit_elct_expt,9.142573162715477,2.5089951744E10
sctg36_mit_tran_expt,7.803788779454119,4.12542848E9
sctg37_mit_inst_transp_expt,10.162410291334547,2.875766272E9
sctg38_mit_inst_prec_expt,8.244755177962514,2.884849152E9
sctg39_oth_furn_expt,7.177523379884438,1.561209216E9
sctg40_oth_misc_expt,7.517571790185144,2.50786048E9
sctg41_waste_scrap_expt,12.221571553054437,5.14554656E8
energy_expt,1.2812583102770838,1.2529262592E10
retail_trade_expt,1.2246842099537245,2.6900822016E10
transport_expt,1.2421780399438587,1.4939113472E10
wholesale_trade_expt,1.1820143009085287,2.4460910592E10
construction_expt,1.3202936678498725,2.5702885376E10
communications_and_utilities_expt,1.2300356684441427,1.9796348928E10
accommodations_expt,6.083227383276838,3.361339392E9
personal_and_other_services_and_amusements_expt,1.369464482962031,1.5108145152E10
entertainment_services_expt,1.1280365388694005,4.039098624E9
food_services_expt,1.1244408333175766,1.2396404736E10
higher_education_expt,1.1914011676187326,6.196788224E9
health_services_expt,1.1718945073411278,4.3076182016E10
fire_business_and_professional_services_expt,1.14684770041038,9.4535213056E10
government_administration_expt,1.1358218075903261,1.8981931008E10
education_reports_to_sponsors_expt,1.1055466862281365,1.4949045248E10
