104 104
0 71 5.73226958670582E-9
0 72 -4.5277069174052165E-10
0 73 2.693033183897065E-9
0 74 3.49951400552916E-10
0 75 -2.0851576617795424E-9
0 76 3.6726180146352876E-11
0 77 1.9689525428925123E-10
0 78 8.913831566179812E-11
0 79 6.165786586606934E-10
0 80 1.9603294594995788E-10
0 81 6.645402728551445E-9
0 82 1.5565799328118952E-8
0 83 -2.3895389800868912E-11
0 84 3.9113035434000585E-9
0 85 2.3509896441473824E-8
0 86 -8.35757227709037E-8
0 87 0.0
0 88 1.1827763761725195E-14
0 89 6.05174031569999E-11
0 90 5.504636515693618E-12
0 91 -1.2091072271476081E-9
0 92 2.1277282590395694E-9
0 93 0.0
0 94 -1.3084780153288284E-11
0 95 1.541706721865424E-10
0 96 -6.987536890902243E-13
0 97 -5.952477640803542E-11
0 98 -1.262918658540002E-10
0 99 -1.1098177932211684E-11
0 100 -1.3640422125149598E-11
0 101 -1.0016293350290084E-11
0 102 -2.8720803513238025E-11
0 103 -1.2560175122189321E-11
1 0 4.216712150854462E-8
1 1 5.69822717158018E9
1 2 8.961501205098249E-8
1 3 -2.0195876246025882E-8
1 4 -9.263847094301145E-8
1 5 -7.12463644554579E-8
1 6 -4.832683730669629E-7
1 7 -8.689835252642618E-8
1 8 4.1532642912106044E-10
1 9 4.952433426331662E-10
1 10 -1.377813501831146E-10
1 11 1.5656674711967105E-9
1 12 6.832370449002197E-10
1 13 1.4047723995691661E-9
1 14 9.10889529354056E-10
1 15 5.683187283402096E-10
1 16 3.514096143043526E-9
1 17 4.137384629772708E-9
1 18 2.1627975133230019E-10
1 19 -1.7377734818814493E-10
1 20 4.892005664398161E-9
1 21 2.2115676205241976E-8
1 22 1.7557014747322976E-9
1 23 1.3153711468318827E-9
1 24 3.456562182784943E-9
1 25 3.308645164130351E-8
1 26 2.124918348764328E-9
1 27 5.477132072583861E-10
1 28 1.8076931483747972E-8
1 29 1.5675422725296593E-8
1 30 6.005967209796957E-9
1 31 3.644462313704989E-8
1 32 1.166380511488637E-8
1 33 3.986933174370291E-9
1 34 -9.046908654113712E-11
1 35 1.6341751620043034E-10
1 36 7.940806371255653E-10
1 37 3.0428500196673578E-9
1 38 -7.631143677145507E-10
1 39 2.8328514375751997E-8
1 40 1.3174265950033228E-8
1 41 3.29201820198874E-8
1 42 8.046106708103483E-8
1 43 2.046739717137734E-8
1 44 1.7298121407014918E-8
1 45 1.5983205670364964E-9
1 46 2.148047237651709E-9
1 47 3.1245045296021677E-9
1 48 -4.5213418964328464E-7
1 49 9.161710593629189E-9
1 50 4.224669742227712E-10
1 51 -1.5302234111883998E-9
1 52 1.0236994528543044E-7
1 53 -1.772379844221749E-11
1 54 -1.9799318652192663E-9
1 55 0.0
1 56 0.0
1 57 7.306741910296028E-8
1 58 0.0
1 59 -7.68383669390872E-12
1 60 0.0
1 61 0.0
1 62 0.0
1 63 -2.315523525629911E-9
1 64 1.7458964511101926E-9
1 65 0.0
1 66 1.149617936864443E-9
1 67 4.895822513943917E-8
1 68 -6.359462851062249E-10
1 69 7.093135855516105E-8
1 70 -9.589456171306414E-9
1 71 1.1568419901617507E-8
1 72 1.0967363193026409E-8
