Azone,ureslo,uresmed,uresmdh,ureshi,umix,umixhi,ucom,uindlt,uind,upub,uoth,ubigany,uany,unonindany,rres,rcntr,rcom,rind,rpub,rreserve,rany,rfor,rnatrs,xrec,xagfor,xcons,xhalo,xother,xother2,xwater,xtp
15.0,0.0,0.0,0.0,756326.6,0.0,2152621.86,0.0,0.0,0.0,126054.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1667797.11
16.0,0.0,0.0,0.0,338333.33,725000.0,560666.67,0.0,0.0,0.0,280333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850666.67
17.0,0.0,86724.23,886514.39,1127415.04,7757000.88,0.0,1108142.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532128.13,3844774.35
18.0,107439.02,5411019.96,1582283.81,0.0,2783647.45,0.0,478592.02,263713.97,0.0,1660421.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927882.48
19.0,213861.56,1409542.08,0.0,0.0,35335761.87,0.0,0.0,0.0,0.0,19714147.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11140242.94,3217644.34
20.0,2139554.79,26198.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18679623.24,0.0,0.0,0.0,0.0,6460895.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053413.12,0.0,48464.32,0.0,0.0,0.0,0.0,0.0,339250.24
21.0,21752478.48,35028.15,0.0,0.0,52542.22,0.0,0.0,0.0,0.0,4212134.52,0.0,0.0,78813.33,0.0,6063043.18,5681.93,0.0,0.0,0.0,0.0,8522.891104,0.0,455501.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853954.14
22.0,5503651.37,0.0,0.0,0.0,9375.9,0.0,0.0,0.0,0.0,4219153.52,0.0,0.0,0.0,0.0,13284605.12,343.84,0.0,0.0,0.0,0.0,0.0,0.0,154729.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709540.98
23.0,24234709.24,1593653.57,0.0,0.0,106891.4,0.0,0.0,0.0,0.0,10329596.0,0.0,0.0,19434.8,0.0,2731075.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748239.78
24.0,12138912.38,14900.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20880518.67,0.0,0.0,0.0,0.0,36303557.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19944087.77,0.0,40504146.88,0.0,0.0,0.0,0.0,0.0,1582876.03
25.0,670031.8,126237.88,0.0,0.0,21955679.73,0.0,0.0,0.0,0.0,55165951.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16741084.42,1291510.57
26.0,3981975.01,4431552.83,0.0,0.0,11266970.76,0.0,321127.02,256901.61,0.0,55720124.94,0.0,0.0,0.0,0.0,830941.68,670157.07,19100.0,15280.0,0.0,0.0,0.0,0.0,3314221.42,0.0,3168976.93,0.0,0.0,0.0,0.0,12656466.16,1030403.54
27.0,14440200.49,0.0,0.0,0.0,30411.09,0.0,0.0,0.0,0.0,14262802.45,0.0,0.0,10137.03,0.0,42696545.78,27852.07,0.0,0.0,0.0,0.0,9284.024734,0.0,13062623.12,0.0,72100669.79,0.0,0.0,0.0,0.0,0.0,2835474.15
28.0,0.0,4745087.77,213044.76,0.0,0.0,0.0,0.0,0.0,0.0,271147.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551979.6
29.0,0.0,39222.45,5373475.77,0.0,1745399.06,0.0,1039394.95,0.0,0.0,225529.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2059178.67
30.0,4520643.28,7852669.14,730707.43,0.0,0.0,0.0,224083.61,0.0,0.0,15978135.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130160.82
31.0,9010258.41,4153896.35,0.0,0.0,797703.75,0.0,48640.47,0.0,0.0,4076071.6,0.0,0.0,9728.09,0.0,182790.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661510.43
