zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2775,0,5162923.5,2549266.0,1619398.8,2247821.2,1494314.6,1734401.6,1005415.94,1760604.5,1016716.56,635862.56,1356949.9,1741235.1,1446913.2
2776,0,4145077.2,2282476.8,1250085.4,1635253.8,1313865.0,1391774.0,907941.75,1537605.5,1093816.1,510615.06,993234.56,1344400.4,1262468.1
2777,0,6422317.0,3161174.5,1985412.4,2820883.8,1804776.6,2133953.2,1215990.8,2112781.0,1188056.4,766120.2,1651892.5,2119075.2,1714098.0
2778,0,9018285.0,4603809.0,2843920.2,3486580.8,3103062.0,3197251.0,2087773.1,3721916.2,2621475.8,1363732.0,2739738.8,3562476.0,3495783.5
2779,0,3514660.8,1213842.4,960022.25,1462506.6,824806.5,1028354.7,542904.6,1128467.4,483788.2,409133.1,1139736.5,1399290.0,1062897.9
2780,0,4467322.0,1543681.5,1225779.4,1848615.5,1058862.5,1311888.1,695646.5,1449381.9,627822.9,525591.56,1461593.4,1793939.1,1374811.4
2781,0,2442772.5,844162.56,670267.1,1010857.56,578839.56,717314.9,380306.75,792298.9,342919.2,287373.6,799324.1,980925.94,751252.6
2782,0,4217380.0,2066462.5,1428800.1,1682152.8,1550037.1,1647757.6,911695.94,1714871.0,1264098.0,1256123.0,2316237.0,2313730.2,2753247.0
2783,0,1466534.2,682845.8,510893.97,567764.6,520597.84,551405.8,312042.22,603385.94,409748.06,453696.5,867964.7,860125.2,961064.25
2784,0,81325.48,42684.836,28968.357,30822.566,32805.848,33334.434,19960.002,36661.426,28849.492,28503.453,48623.133,49528.496,60760.727
2785,0,1751877.9,815791.8,609635.6,679253.56,619595.56,657810.4,371408.44,718095.8,485373.12,539931.5,1034655.9,1025022.2,1140029.6
