AZone,FLR.MH,FLR.MF,FLR.AT,FLR.SFD,FLR.RRMH,FLR.RRSFD,FLR.Accommodation,FLR.Government.Support,FLR.K12,FLR.Heavy.Industry,FLR.Hospital,FLR.Institutional,FLR.Light.Industry,FLR.Office,FLR.Retail,FLR.Warehouse,FLR.Agriculture,FLR.Logging
11,0.000194324711443639,0,0.00385017226068439,0.00816922959757434,0,0,0,0.0000962286384077055,0.000768293754323506,0.000201836718381054,0.0000770521930768682,0.000307076003858842,0.000582461257958539,0,0,0.000502515916838183,0,0
12,0.000194281096987581,0,0.00189530164324121,0,0,0,0.00409170848995704,0.0000962286384077061,0.000768293754181893,0.000201852320253992,0.0000770521930768683,0.000307076003858959,0.000582461257958539,0,0.00993511687633153,0.000674960807392582,0,0
13,0.000194228731667895,0.00637613265339127,0.00139854043052815,0,0,0,0.000307940334774568,0.0000962286384077061,0.00076829375432474,0.000201852319747511,0.0000770521930768683,0.000470675558522346,0.000582461257958539,0,0.00713720394529185,0.000578722806993053,0,0
14,0.000194228761656586,0.00381150318734615,0.00140616528245485,0,0,0,0.000307940334774568,0.0000962286384077061,0.000768293754269961,0.000201852320258716,0.0000770521930768683,0.000307076003858959,0.00118253329346694,0.00540345536054044,0.00308230302978012,0.000502515926524112,0,0
15,0.000194304092692578,0.00753716317705374,0.00158440384369850,0.00792634370720552,0,0,0.000307940334774568,0.0000962286384077061,0.000768293754324991,0.000201852320293531,0.0000770521930768683,0.000307076003858959,0.000582461257958539,0.111506546532260,0.0163494428564307,0.000662531737911499,0,0
16,0.000194281573415176,0.00511475400074341,0.00157727600195667,0.00728692092849361,0,0,0.000307940334774568,0.0000962286384077061,0.000768293754319243,0.000201852320246087,0.0000770521930768683,0.000307076003858959,0.000621711615362113,0.0077622873974169,0.004308830665656,0.000671384325891159,0,0
17,0.000204758320420149,0.0118253776861219,0.00250438046148823,0.0089846500197273,0,0,0.000301527046498801,0.0000944564434616499,0.000813689635965716,0.000198659591873478,0.0000782824833949914,0.000749546835941615,0.000607796548824209,0.067366341267732,0.0324488514770211,0.00103820011235191,0,0
18,0.000204660572085062,0.00513169552905306,0.00240481925774672,0.00979258016130227,0,0,0.000301527046498801,0.0000944564434616499,0.00238800983143601,0,0.0000782824833949914,0.000306619188101138,0.000797422729978483,0.0147258766881888,0.0049214761087756,0.000912654893843153,0,0
19,0.00265861188267891,0.00333663312966976,0.00202114960304007,0.00959415619884212,0,0,0.000295806268028772,0.0000929766897040423,0.000924438977733608,0,0.0000758089028007609,0.000290222106157113,0.0306380312286585,0.0522945662620148,0.00655715198554146,0.0740913176131377,0,0
20,0.00198516325700782,0,0.00173575151379560,0.00899760921980656,0.000112134189699446,0,0.000295806268028754,0.0000929766897040423,0.000814652421568503,0,0.0000758089028007609,0.000290222106157113,0,0.00394576023165927,0.00260209359608746,0.000543214352462608,0,0
