Commodity,Demand,InternalBought,Exports,Supply,InternalSold,Imports,RMSSurplus,AveragePrice
SCTG23_PCC_CHEM_prod,5.646790054963542E9,4.955010016861679E9,6.917800381018628E8,5.646790044534812E9,5.290570082636675E9,3.5621996189813745E8,58.2655991551892,0.7089088694268904
SCTG24_PCC_PETR_plast,8.294709828795628E9,7.639924158206731E9,6.547856705888972E8,8.294709829522924E9,7.901495500111821E9,3.9321432941110283E8,0.330645993436237,0.7730895836354726
SCTG25_FWP_LOGS,4.001131716645835E9,3.52144087777538E9,4.7969083887045455E8,4.0011317162973013E9,3.432822555167756E9,5.683091611295451E8,0.10521437644498076,1.0767073750029201
SCTG26_FWP_WOOD,7.825600597558674E9,7.550186081375958E9,2.754145161827151E8,7.825600577562353E9,7.053015093745068E9,7.725854838172854E8,0.5091358209688945,1.4313010803031854
SCTG27_PPP_PAPR_puplp,7.155157555524564E9,6.904495144465975E9,2.5066241105858895E8,7.155157578566956E9,6.357819989625545E9,7.973375889414115E8,0.6524904383554998,1.4742484080378337
SCTG28_PPP_PAPR_paper,3.579770172755642E9,3.0714793513058043E9,5.082908214498378E8,3.5797701659975953E9,3.040060987447433E9,5.397091785501623E8,0.15158639885069408,1.027253694578121
SCTG29_PPP_PAPR_print,3.936764978754512E9,3.3947162866948524E9,5.420486920596597E8,3.9367649938441534E9,3.4308136859038134E9,5.0595130794034004E8,0.5024201388859965,0.968687198158169
SCTG30_OTH_CLTH,4.97787551898767E9,4.32809167341539E9,6.4978384557228E8,4.977875502564941E9,4.579659348137221E9,3.982161544277197E8,0.9158623921097959,0.7817734505581448
SCTG31_CMS_MIN,4.143779478954111E9,3.6303195662223086E9,5.134599127318025E8,4.143779480952466E9,3.6092393936842685E9,5.345400872681975E8,0.3569834037150488,1.0182858180690173
SCTG32_MIT_METL_base,8.98239969526654E9,8.47496165501577E9,5.074380402507697E8,8.982399702397354E9,8.441837742648124E9,5.405619597492301E8,0.37211888932880843,1.028732904549224
SCTG33_MIT_METL_prod,7.264817308420684E9,6.751364618986439E9,5.1345268943424547E8,7.26481731509453E9,6.730270004528775E9,5.345473105657546E8,0.36022530825191623,1.0182985328564043
SCTG34_MIT_MACH,1.4185025815872719E10,1.3578824666876902E10,6.062011489958167E8,1.4185025809128975E10,1.3743226958124792E10,4.417988510041836E8,0.4695508193644251,0.857385365804104
SCTG35_MIT_ELCT,3.862233408643217E10,3.8432791339995834E10,1.895427464363312E8,3.862233398196488E10,3.7763876728401215E10,8.584572535636693E8,6.956144872152844,1.5803134285620595
SCTG36_MIT_TRAN,1.2198280806430063E10,1.1539508009223927E10,6.58772797206137E8,1.2198280829972042E10,1.1809053627178179E10,3.89227202793863E8,1.0013955397720864,0.7661777167599557
SCTG37_MIT_INST_transp,5.769877104890448E9,5.258292705369632E9,5.115843995208157E8,5.769877089022751E9,5.233461488543567E9,5.3641560047918427E8,0.5526707532454218,1.0215397341056143
SCTG38_MIT_INST_prec,6.881691973077981E9,6.326670162074516E9,5.55021811003465E8,6.881691956670391E9,6.388713767673856E9,4.929781889965355E8,0.5743367848557058,0.9461796222850256
SCTG39_OTH_FURN,4.097116795069806E9,3.505269958338921E9,5.918468367308851E8,4.0971168194814215E9,3.6409636562123065E9,4.561531632691149E8,2.6837223334312417,0.882291505399827
SCTG40_OTH_MISC,8.1444978344616785E9,7.47851852807078E9,6.659793063908988E8,8.144497846940608E9,7.762477153331507E9,3.82020693609101E8,1.759059596467377,0.7536744023259503
SCTG41_WASTE_SCRAP,1.5058893852794447E9,9.837999387393723E8,5.2208944654007244E8,1.5058893847875998E9,9.799788313276722E8,5.259105534599275E8,0.05032285861029532,1.0033058531824695
Energy,1.3416894901391607E10,1.2564881593338396E10,8.520133080532106E8,1.3416894898399897E10,1.3220908206453108E10,1.9598669194678894E8,0.24821532135210828,0.43086632901204713
Retail Trade,2.867035151181428E10,2.8123238379558258E10,5.471131322560245E8,2.8670351502407837E10,2.816946463466386E10,5.008868677439754E8,0.7137877613718279,0.9599006472785534
Transport,1.741268200747766E10,1.6859625131768032E10,5.530568757096281E8,1.741268197719695E10,1.6917738852906576E10,4.9494312429037184E8,0.9357443115226021,0.9495904749262432
Wholesale Trade,2.590753516993844E10,2.531437214522577E10,5.931630247126676E8,2.5907535162968727E10,2.5452698187681393E10,4.54836975287333E8,56.57199981279993,0.8800095355613519
Construction,3.496001926669657E10,3.4236506802658367E10,7.235124640382041E8,3.496001926361212E10,3.463553172765033E10,3.244875359617957E8,2.538034370061129,0.6538537322130236
Communications and Utilities,2.491910239574644E10,2.4340466798459747E10,5.786355972866939E8,2.4919102408479267E10,2.444973800576596E10,4.6936440271330655E8,1.0069183986392791,0.9052159976780079
Accommodations,6.492678878302071E9,5.964527473415524E9,5.281514048865471E8,6.492681503742376E9,5.972832908628923E9,5.198485951134528E8,11661.415787467075,0.9928002660536375
Personal and Other Services and Amusements,1.6429004035029436E10,1.5636190358488865E10,7.928136765405719E8,1.6429004034091694E10,1.6173817710632265E10,2.5518632345942792E8,24.394984050774347,0.5336023603856211
Entertainment Services,5.199063636679213E9,4.825202703363225E9,3.73860933315988E8,5.19906362513156E9,4.524924558447549E9,6.741390666840116E8,0.4376943073015328,1.2604811939143155
Food Services,1.291462187832963E10,1.2289951171881584E10,6.246707064480458E8,1.2914623981886408E10,1.2491294688334454E10,4.233292935519546E8,4776.637495257056,0.8253377556653688
Teaching K12,1.324928786219629E10,1.2355992758140434E10,8.932951040558547E8,1.3249297187282015E10,1.3094592291337872E10,1.547048959441439E8,218191.8343541414,0.3591260725041258
Higher Education,7.114639691963575E9,6.570616763621476E9,5.440229283420992E8,7.114639716777604E9,6.610662645119703E9,5.0397707165790087E8,47.26825977764746,0.9652607350758654
Health Services,4.236297033716337E10,4.055945335133689E10,1.8035169858264744E9,4.236296673795033E10,4.31184837237768E10,-7.555169858264732E8,36264.30801424341,-1.225688963336936
Fire Business and Professional Services,1.225775369348649E11,1.2130273252672928E11,1.274804408135625E9,1.2257755689729683E11,1.2280436130543245E11,-2.2680440813562638E8,450750.0305592831,-0.3032501245816241
Government Administration,2.0125163016633533E10,1.9648113481892372E10,4.7704953474116015E8,2.0125163026067017E10,1.9554212560808178E10,5.709504652588396E8,1.718422677251959,1.0814334205502922
Internal Services Resources,1.8560740352975178E9,1.3320742028627555E9,5.239998324347622E8,1.8560744094365077E9,1.33207424187127E9,5.240001675652377E8,404.05752427210706,1.0000002778357884
Internal Services Energy,2.4363306623535905E9,1.9123307176902497E9,5.2399994466334075E8,2.4363306870213294E9,1.91233063168467E9,5.240000553366593E8,35.827677283410544,1.000000085282658
Internal Services Construction,3.1901872843431807E9,2.6661872016704655E9,5.240000826727154E8,3.1901871835375195E9,2.6661872662102346E9,5.239999173272847E8,481.5084948508937,0.999999712314485
Internal Services Manufacturing,1.0689454736929764E10,1.0165454629485056E10,5.240001074447084E8,1.0689454743409437E10,1.0165454850854145E10,5.239998925552916E8,1.3976485394953324,0.9999996768666908
Internal Services Wholesale,2.2578669118074303E9,1.7338608015388186E9,5.240061102686116E8,2.257854753745911E9,1.7338608640145228E9,5.2399388973138815E8,89398.67183678836,0.9999893686745309
Internal Services Retail Store,2.0423610496765952E9,1.5183612756595483E9,5.2399977401704705E8,2.0423614415914168E9,1.5183612156084638E9,5.2400022598295313E8,891.14328925792,1.00000026733416
Internal ServicesTransport,2.649368425070147E9,2.1253670834541335E9,5.240013416160134E8,2.649365832195769E9,2.1253671738117824E9,5.2399865838398665E8,9680.341425755958,0.9999976259232733
Internal Services Information,3.405870507293737E9,2.881870429099554E9,5.240000781941828E8,3.4058702504059114E9,2.8818703286000943E9,5.239999218058172E8,709.7845828564242,0.9999997731267952
Internal Services Utilities,1.6380259829363072E9,1.1140276421774607E9,5.2399834075884646E8,1.6380293086272812E9,1.1140276493861275E9,5.240016592411536E8,7580.128760960389,1.000002876710301
Internal Services Education k12,3.3016032515267463E9,2.7776033428515587E9,5.2399990867518777E8,3.301603408171631E9,2.777603316846819E9,5.240000913248122E8,2613.9792572763095,1.0000001768323885
Internal Services Government Administration,1.0532657437109652E10,1.0008656937476791E10,5.240004996328599E8,1.0532657381708826E10,1.0008657881341686E10,5.239995003671402E8,56.62960389638141,0.9999990107981171
GHG Permits,5.24E8,0.0,5.24E8,5.24E8,0.0,5.24E8,0.0,0.9999999999999907
Government Support Receipts,5.5027484770343834E10,5.460808245375E10,4.1940231659383404E8,5.5027481341287025E10,5.439888365788086E10,6.285976834061629E8,6.54400153225289,1.1814689918929389
Tax Receipts,6.572930928671054E10,6.5223535948171875E10,5.0577333853866434E8,6.5729309286711334E10,6.518708262525E10,5.422266614613359E8,1.5003606677055395E-6,1.0316215596103753
Investing Receipts,1.3975937493889648E10,1.3467761205591797E10,5.081762882978516E8,1.3975937493889648E10,1.34361137821875E10,5.398237117021483E8,2.3283064365386854E-10,1.0274526635921262
Return Investment Receipts,1.402677645935436E11,1.39738507893375E11,5.2925670016859996E8,1.402677646145814E11,1.3974902131475E11,5.187432998313999E8,0.04014846123754961,0.990880117463623
Capital Transfer Receipts,5.867079192596875E10,5.81262593994375E10,5.4453252653125E8,5.867079192596875E10,5.81673244525E10,5.0346747346875E8,0.0,0.9643779764076312
Education Reports to Sponsors,1.55201407775542E10,1.500517730665625E10,5.149634708979492E8,1.55201407775542E10,1.4987104248452148E10,5.330365291020508E8,0.0,1.015677532551781
Proprietor Income Receipts,1.9015069290568222E10,1.8144156580943085E10,8.709127096251373E8,1.9015069290568222E10,1.883798200019336E10,1.7708729037486267E8,0.0,0.39807295850593744
A1-Mgmt Bus,2.6861373986656303E10,2.6264580044141808E10,5.967939425144963E8,2.6861466593869183E10,2.641026053638368E10,4.5120605748550487E8,2194.8169142225997,0.8737075672408634
B1-Prof Specialty,1.3984514830710907E10,1.3415716552106655E10,5.687982786042509E8,1.3984431633335598E10,1.3505229911939848E10,4.792017213957496E8,5712.048425937188,0.9222785006438851
B2-Education,7.114500670316981E9,6.562853998850196E9,5.516466714667854E8,7.114867851124691E9,6.618514522591477E9,4.9635332853321403E8,2872.303548203443,0.9520353008373696
B3-Health,8.371794588353361E9,7.814391382793526E9,5.574032055598354E8,8.3719059048897295E9,7.881309110449564E9,4.9059679444016516E8,1118.9277432518252,0.9420481173321933
B4-Technical Unskilled,8.430491366866233E9,7.9154950394686E9,5.149963273976326E8,8.43027174009297E9,7.8972680674906025E9,5.3300367260236746E8,5611.549189220634,1.0156206054088408
C1-Sales Clerical Professionals,1.0187461561660782E10,9.625745987273787E9,5.617155743869948E8,1.018762900557935E10,9.701344579966345E9,4.8628442561300516E8,1822.4690112542826,0.9345663735161465
C2-Sales Service,4.9409720878553705E9,4.396437056643374E9,5.445350312119957E8,4.940838927402415E9,4.437373958614411E9,5.0346496878800404E8,1855.7668482004817,0.9643733165378742
C3-Clerical,1.0497800771892406E10,9.945712900249834E9,5.520878716425714E8,1.0497517318067562E10,1.0001605189710135E10,4.959121283574282E8,3569.7202181650655,0.9512694331531493
C4-Sales Clerical Unskilled,6.561290498104542E9,6.036222399321573E9,5.250680987829681E8,6.560681976139468E9,6.037750074922437E9,5.229319012170318E8,4861.588205099993,0.9981468671175352
D1-Production Specialists,4.938193111506643E9,4.421634740957201E9,5.165583705494424E8,4.938161975340184E9,4.4067203458896265E9,5.3144162945055777E8,336.3649541641992,1.0129095090994227
D2-MaintConstRepair Specialists,8.169399518305831E9,7.663177205067161E9,5.062223132386705E8,8.169454025378553E9,7.627676338617224E9,5.417776867613295E8,1403.1759490398306,1.0308426141920655
D3-ProtectTrans Specialists,1.0120230577909054E10,9.61772357369335E9,5.02507004215704E8,1.0120101854801182E10,9.574608859016886E9,5.454929957842968E8,943.2947031714974,1.0372885496633877
D4-Blue Collar Unskilled,1.0501004813829475E10,9.997064482447285E9,5.039403313821899E8,1.0500409165669209E10,9.9563494970514E9,5.4405966861781E8,8092.331866021524,1.034801644279171
FLR Agriculture,3.9222777179587135E10,3.922287148913999E10,-94309.55285526528,3.922277717958513E10,0.0,3.922277717958513E10,1.4947199247482655E-5,0.031107210076274885
FLR Logging,2.038873612117023E10,2.0389066329386143E10,-330208.215910783,2.038873612112627E10,0.0,2.038873612112627E10,2.3843101798875428E-4,0.03208850825750961
