zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2942,0,106809.4,70409.36,2229912.0,33869.375,328688.5,28013.535,3421.7637,35710.414,73944.56,17953.066,230676.94,90727.41,295032.34
2943,0,76719.41,63044.8,18585.09,13224.909,43884.78,13208.136,4470.671,26399.422,117436.555,8460.908,156130.33,19247.324,182106.11
2944,0,2.0653546E7,1.0249192E7,591053.7,2001832.4,4340930.0,4730530.0,2787171.8,6909384.0,4338555.5,3376974.2,9577381.0,5.817756E7,6851292.0
2945,0,7188493.5,4738568.5,641152.7,2070818.0,2721626.0,1952517.9,1768991.5,2593526.2,2398111.8,696739.4,2154254.5,5361040.5,1832869.9
2946,0,1630697.1,966583.5,68904.19,1314126.8,826676.06,539781.0,424821.1,714206.3,463155.62,315324.25,1415253.0,3230650.8,866652.56
2947,0,105643.97,50888.547,1014.7887,261672.03,113890.15,35189.49,47684.55,74423.78,96017.07,117001.664,490038.94,1667761.5,331515.2
2948,0,626902.8,355793.94,1843479.0,322664.75,469437.9,178639.97,108638.08,232662.75,154056.69,301931.25,570464.06,144160.17,627786.25
2949,0,3737204.0,2208553.0,4861986.5,2052894.1,2093280.4,1053005.0,390904.62,1384059.6,548228.6,656855.7,2044131.5,5489296.0,1341351.8
2950,0,5586061.0,3700993.0,413431.9,1086870.6,1865733.4,1491202.8,1182968.5,1899607.0,1438070.6,484035.78,950606.25,390693.2,1084162.8
2951,0,56841.2,44659.22,1352041.0,9502.578,200258.75,13612.188,1756.1475,18741.803,73310.44,11374.1455,193075.38,60206.79,244383.73
2952,0,1.018244E7,3117659.8,111070.57,3923387.2,2695735.8,4107754.0,471812.6,5151884.0,1913975.0,7596596.0,4680768.5,3697500.5,1.1536308E7
2953,0,2.8506676E7,1.0338504E7,6778755.5,4.1280104E7,1.8095136E7,9806880.0,856193.3,1.5984908E7,5663039.0,3306959.0,3424183.0,6732689.0,5561297.5
2954,0,660239.0,470233.25,1510450.1,149665.28,444027.72,173710.11,110081.78,228863.33,235041.22,37214.234,289878.8,255085.56,332133.7
2955,0,281643.6,110008.09,228.45158,20685.596,46642.03,106808.766,87597.89,137821.73,103870.266,48830.6,309546.0,471844.3,330357.6
2956,0,1131707.1,522088.1,1249556.4,402021.2,486854.1,360743.75,473899.44,543365.06,612971.9,401328.3,1322033.9,1544236.1,2788490.2
2957,0,231066.02,98533.63,721451.4,16872.574,125772.984,47746.523,155378.75,115275.62,163322.2,111259.4,824786.0,1433749.2,2064216.0
2958,0,22896.373,4746.035,365439.4,497.01056,48905.652,17854.584,14039.816,7544.1396,5405.197,32132.057,292554.34,346016.7,804692.7
2959,0,132489.2,70358.766,333623.47,7666.7534,74561.51,28368.418,896.58093,94149.984,106573.23,678109.3,2314612.5,1.2422249E7,2376508.2
2960,0,2938280.0,1599160.4,28226.805,199737.05,556467.25,936983.6,16981.168,846035.56,199572.28,922725.06,1148432.0,870501.2,1846830.9
2961,0,3265890.5,1481111.5,160673.22,381366.06,682537.94,767387.25,1388926.6,1125835.0,1772770.6,1439736.4,2425732.8,5731652.0,3211348.2
2962,0,9418223.0,5005256.0,3698086.0,1441262.0,2593291.5,2682503.0,2102200.0,3070764.0,1868422.1,1555986.6,3858345.5,1.2350773E7,3546709.2
2963,0,4170223.0,2267842.0,1355202.8,790608.0,1152376.4,878666.3,221697.34,1252287.2,359012.88,488180.7,1548568.0,5627476.5,1188685.2
2964,0,2062858.5,814118.0,10162.76,65311.332,270827.0,471950.44,92076.85,507921.9,175656.22,380004.6,514351.78,99345.92,583460.3
2965,0,246406.95,160440.84,48549.49,36638.61,102474.07,52218.43,3721.2834,72390.445,90169.66,62148.945,392631.78,38522.598,423121.1
2966,0,3726256.8,1919121.5,932802.5,264847.75,1032678.25,829888.25,166120.45,993512.6,603284.25,105976.695,532510.44,222526.88,639962.5
2967,0,3473251.8,1488204.0,87426.86,805023.25,798238.4,862364.6,76464.23,1014659.1,274557.53,7663716.5,2625011.8,1684192.8,3809700.0
2968,0,468730.1,177756.7,6404.564,52451.906,97883.56,98178.69,17597.871,121565.24,124932.56,30395.621,578674.75,60394.336,608868.44
2969,0,5343255.5,1696966.6,39735.28,1375961.8,1141365.5,1143477.4,78284.66,1454345.9,435824.03,275603.1,1262884.1,358965.53,1282679.5
2970,0,24582.53,3131.4841,74.5245,47.13674,1400.0676,11670.13,29295.691,32013.49,6594.7603,15012.087,129087.87,45802.56,358667.66
2971,0,2931497.0,1109039.8,19902.152,166033.48,418349.3,451228.0,22160.78,853817.56,145673.0,79719.25,336309.0,1877225.8,303891.16
2972,0,8762175.0,5333891.0,1.7879264E7,1451508.0,4498948.5,2889235.5,1538242.0,3036368.2,1810087.5,1144883.8,7445925.0,1.3003609E7,6579248.5
2973,0,1.1930716E7,6744894.5,101711.24,1071970.2,2872115.0,2786937.0,9254966.0,4620370.0,5842326.0,678420.25,3432548.5,5521729.0,4682002.5
2974,0,2.8085856E7,1.2252879E7,2828579.5,2.05812E7,1.189389E7,9531760.0,1.0231368E7,1.3122832E7,1.0168197E7,2.5687484E7,2.4292334E7,7761930.0,3.2297112E7
2975,0,731214.2,305983.2,22077.404,29918.31,125722.05,181825.0,112222.71,194701.53,127877.81,105796.42,443816.62,62516.867,471179.66
2976,0,1.1378271E7,7757907.0,1.1443849E7,1218091.5,4268969.5,2813413.5,1092932.4,3933046.2,2045773.5,559157.9,4656222.5,905918.44,4261176.0
2977,0,1700744.4,984830.25,121227.24,75920.42,363064.22,609178.5,413635.94,556240.4,499250.6,147360.62,2799600.8,424398.78,2877584.8
2978,0,2221185.2,1288914.6,1152121.6,363868.06,715009.3,688104.1,945754.3,835225.06,1022371.1,286736.03,3423870.0,433882.72,3219659.5
2979,0,1004966.25,550034.2,535384.8,304275.9,367055.8,365779.5,365265.2,382188.25,445546.5,246032.33,3264064.8,336697.1,2997428.2
