Commodity,BuyingSelling,BandNumber,LowerBound,Quantity,AverageLength
SCTG08_FKP_FOOD_alc,buying,6,300.0,894690.3386830157,329.2754107051847
SCTG08_FKP_FOOD_alc,buying,7,400.0,42623.25501108767,442.6751152531738
SCTG08_FKP_FOOD_alc,buying,8,500.0,2152.888389226317,533.6823464778059
SCTG08_FKP_FOOD_alc,buying,9,1000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,buying,10,2000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,buying,11,4000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,buying,12,10000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,buying,13,20000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,selling,0,0.0,5.7867864663873106E7,3.5564690159786823
SCTG08_FKP_FOOD_alc,selling,1,5.0,7.629102427221185E7,7.794116673012474
SCTG08_FKP_FOOD_alc,selling,2,10.0,4.6124784193025863E8,27.263819069218826
SCTG08_FKP_FOOD_alc,selling,3,50.0,4.326590682285029E8,71.45581585359308
SCTG08_FKP_FOOD_alc,selling,4,100.0,3.81121974923141E8,142.65795113987213
SCTG08_FKP_FOOD_alc,selling,5,200.0,3.397435601607169E8,246.57935635003665
SCTG08_FKP_FOOD_alc,selling,6,300.0,1.6292753327612782E8,338.2965735061466
SCTG08_FKP_FOOD_alc,selling,7,400.0,8.554495049874249E7,447.17218600676483
SCTG08_FKP_FOOD_alc,selling,8,500.0,2.8613642366633188E7,544.1339791836988
SCTG08_FKP_FOOD_alc,selling,9,1000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,selling,10,2000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,selling,11,4000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,selling,12,10000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,selling,13,20000.0,0.0,0.0
SCTG10_CMS_CLAY,buying,0,0.0,3292414.1750411987,3.5823965746662143
SCTG10_CMS_CLAY,buying,1,5.0,9436921.232028961,7.91309078317149
SCTG10_CMS_CLAY,buying,2,10.0,8.513920445705152E7,29.289235064324675
SCTG10_CMS_CLAY,buying,3,50.0,5.360066462427373E7,71.78348100287963
SCTG10_CMS_CLAY,buying,4,100.0,3.814494135753483E7,138.14837941576957
SCTG10_CMS_CLAY,buying,5,200.0,1.1144099384645998E7,239.8904657541977
SCTG10_CMS_CLAY,buying,6,300.0,2348115.2913613515,335.51324517119656
SCTG10_CMS_CLAY,buying,7,400.0,486283.6202953224,437.2184079883106
SCTG10_CMS_CLAY,buying,8,500.0,101704.41211407946,545.572569614461
SCTG10_CMS_CLAY,buying,9,1000.0,0.0,0.0
SCTG10_CMS_CLAY,buying,10,2000.0,0.0,0.0
SCTG10_CMS_CLAY,buying,11,4000.0,0.0,0.0
SCTG10_CMS_CLAY,buying,12,10000.0,0.0,0.0
SCTG10_CMS_CLAY,buying,13,20000.0,0.0,0.0
SCTG10_CMS_CLAY,selling,0,0.0,8.360419979345703E7,3.2497830669020074
SCTG10_CMS_CLAY,selling,1,5.0,1.0387673863793945E8,7.596687602957436
SCTG10_CMS_CLAY,selling,2,10.0,8.405578805200195E7,17.19723593680527
SCTG10_CMS_CLAY,selling,3,50.0,0.0,0.0
SCTG10_CMS_CLAY,selling,4,100.0,0.0,0.0
SCTG10_CMS_CLAY,selling,5,200.0,0.0,0.0
SCTG10_CMS_CLAY,selling,6,300.0,0.0,0.0
SCTG10_CMS_CLAY,selling,7,400.0,0.0,0.0
SCTG10_CMS_CLAY,selling,8,500.0,0.0,0.0
SCTG10_CMS_CLAY,selling,9,1000.0,0.0,0.0
SCTG10_CMS_CLAY,selling,10,2000.0,0.0,0.0
SCTG10_CMS_CLAY,selling,11,4000.0,0.0,0.0
SCTG10_CMS_CLAY,selling,12,10000.0,0.0,0.0
SCTG10_CMS_CLAY,selling,13,20000.0,0.0,0.0
SCTG11_CMS_SAND,buying,0,0.0,1931753.3227415085,3.707664061115406
SCTG11_CMS_SAND,buying,1,5.0,5704134.321106195,7.798651932082282
SCTG11_CMS_SAND,buying,2,10.0,5.618008301494819E7,29.840943056059505
SCTG11_CMS_SAND,buying,3,50.0,3.6730148446881734E7,72.00105126603933
SCTG11_CMS_SAND,buying,4,100.0,2.956106648293532E7,139.51683962229126
SCTG11_CMS_SAND,buying,5,200.0,9286668.303150345,239.891979838848
SCTG11_CMS_SAND,buying,6,300.0,2614385.4213655847,338.84426632964204
SCTG11_CMS_SAND,buying,7,400.0,774995.2011234742,441.12956768425016
SCTG11_CMS_SAND,buying,8,500.0,180960.7745051229,545.210530683752
SCTG11_CMS_SAND,buying,9,1000.0,0.0,0.0
SCTG11_CMS_SAND,buying,10,2000.0,0.0,0.0
SCTG11_CMS_SAND,buying,11,4000.0,0.0,0.0
SCTG11_CMS_SAND,buying,12,10000.0,0.0,0.0
SCTG11_CMS_SAND,buying,13,20000.0,0.0,0.0
SCTG11_CMS_SAND,selling,0,0.0,9.339404778955078E7,3.249289531375062
SCTG11_CMS_SAND,selling,1,5.0,1.1398800963134766E8,7.592024818853047
SCTG11_CMS_SAND,selling,2,10.0,9.20159309086914E7,17.19356111831787
SCTG11_CMS_SAND,selling,3,50.0,0.0,0.0
SCTG11_CMS_SAND,selling,4,100.0,0.0,0.0
SCTG11_CMS_SAND,selling,5,200.0,0.0,0.0
SCTG11_CMS_SAND,selling,6,300.0,0.0,0.0
SCTG11_CMS_SAND,selling,7,400.0,0.0,0.0
SCTG11_CMS_SAND,selling,8,500.0,0.0,0.0
SCTG11_CMS_SAND,selling,9,1000.0,0.0,0.0
SCTG11_CMS_SAND,selling,10,2000.0,0.0,0.0
SCTG11_CMS_SAND,selling,11,4000.0,0.0,0.0
SCTG11_CMS_SAND,selling,12,10000.0,0.0,0.0
SCTG11_CMS_SAND,selling,13,20000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,buying,0,0.0,444906.8552247286,3.5943663429386286
SCTG13_CMS_MINE_nonmet,buying,1,5.0,1050983.7197485715,7.796765379296804
SCTG13_CMS_MINE_nonmet,buying,2,10.0,9197256.004231647,28.89564506757777
SCTG13_CMS_MINE_nonmet,buying,3,50.0,7216096.220506791,72.73493722051985
SCTG13_CMS_MINE_nonmet,buying,4,100.0,6051925.290695133,140.32885276317015
SCTG13_CMS_MINE_nonmet,buying,5,200.0,2164227.805061939,242.34852802521078
SCTG13_CMS_MINE_nonmet,buying,6,300.0,749636.6349625797,338.76914113636644
SCTG13_CMS_MINE_nonmet,buying,7,400.0,200077.04478294062,440.15556433185395
SCTG13_CMS_MINE_nonmet,buying,8,500.0,49274.3056259533,547.8892672664336
SCTG13_CMS_MINE_nonmet,buying,9,1000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,buying,10,2000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,buying,11,4000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,buying,12,10000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,buying,13,20000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,0,0.0,1.3937048789230347E7,3.248909394956536
SCTG13_CMS_MINE_nonmet,selling,1,5.0,1.6774368882446289E7,7.588317866203841
SCTG13_CMS_MINE_nonmet,selling,2,10.0,1.3515031029541016E7,17.1906269386895
SCTG13_CMS_MINE_nonmet,selling,3,50.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,4,100.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,5,200.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,6,300.0,0.0,0.0
