Azone,CNST_offc_off,RET_stor_off,SERV_site_li,ENGY_offc_off,MFG_food_hi,FIRE_real_off,SERV_bus_off,HLTH_care_inst,CNST_res_xxx,MFG_hvtw_li,WHSL_offc_off,HOSP_acc_acc,SERV_stor_ret,UTL_othr_off_li,HOSP_eat_ret_acc,RET_auto_ret,MFG_lvtw_hi,FIRE_fnin_off,MFG_htec_hi,INFO_info_off,MFG_hvtw_hi,MFG_wdppr_hi,CNST_othr_xxx,K12_k12_off,ENGY_elec_hi,SERV_tech_off,CNST_main_xxx,GOV_offc_off,no_industry,MFG_htec_li,RES_offc_off,TRNS_trns_off,RES_agmin_ag,K12_k12_k12,CNST_nres_xxx,ENT_ent_ret,GOV_admn_gov,HLTH_othr_off_li,MFG_offc_off,ENGY_ngas_hi,HLTH_hosp_hosp,RES_forst_log,HIED_hied_off_inst,MFG_food_li,RET_stor_ret,INFO_info_off_li,ENGY_ptrl_hi,RET_nstor_off,SERV_home_xxx,SERV_nonp_off_inst,WHSL_whsl_ware,UTL_othr_off,TRNS_trns_ware,Total
2894.0,13.0,6.0,9.0,4.0,6.0,25.0,35.0,17.0,4.0,3.0,0.0,9.0,21.0,3.0,55.0,18.0,1.0,19.0,0.0,3.0,3.0,2.0,17.0,14.0,1.0,29.0,6.0,27.0,4.0,1.0,14.0,17.0,17.0,11.0,8.0,11.0,12.0,21.0,31.0,0.0,16.0,3.0,10.0,4.0,52.0,1.0,0.0,10.0,14.0,32.0,21.0,4.0,14.0,678.0
2895.0,16.0,8.0,34.0,12.0,20.0,39.0,82.0,20.0,20.0,12.0,4.0,12.0,23.0,15.0,37.0,63.0,5.0,21.0,3.0,16.0,33.0,24.0,32.0,13.0,6.0,61.0,15.0,34.0,10.0,2.0,13.0,15.0,94.0,64.0,42.0,25.0,49.0,43.0,39.0,1.0,21.0,2.0,22.0,11.0,115.0,12.0,5.0,18.0,23.0,30.0,56.0,2.0,72.0,1466.0
2896.0,13.0,21.0,61.0,2.0,20.0,36.0,74.0,28.0,31.0,27.0,5.0,19.0,19.0,16.0,56.0,86.0,16.0,28.0,5.0,12.0,26.0,23.0,57.0,14.0,3.0,56.0,22.0,28.0,10.0,3.0,10.0,16.0,98.0,88.0,51.0,28.0,96.0,42.0,35.0,0.0,39.0,7.0,26.0,24.0,99.0,9.0,9.0,26.0,22.0,41.0,70.0,3.0,84.0,1740.0
2897.0,3.0,8.0,25.0,1.0,9.0,12.0,21.0,3.0,13.0,11.0,0.0,4.0,6.0,16.0,15.0,21.0,5.0,11.0,2.0,7.0,10.0,8.0,27.0,5.0,1.0,11.0,14.0,9.0,3.0,2.0,1.0,7.0,42.0,13.0,18.0,9.0,37.0,12.0,9.0,1.0,12.0,5.0,3.0,8.0,28.0,3.0,3.0,5.0,4.0,6.0,18.0,2.0,31.0,560.0
2898.0,7.0,7.0,25.0,4.0,6.0,14.0,26.0,7.0,17.0,8.0,1.0,4.0,6.0,5.0,10.0,24.0,4.0,11.0,2.0,8.0,18.0,17.0,32.0,5.0,3.0,21.0,17.0,9.0,3.0,3.0,5.0,4.0,57.0,25.0,33.0,5.0,39.0,27.0,14.0,0.0,8.0,3.0,6.0,14.0,27.0,5.0,3.0,7.0,10.0,11.0,31.0,0.0,41.0,699.0
2899.0,2.0,0.0,8.0,1.0,1.0,4.0,8.0,1.0,4.0,5.0,0.0,0.0,6.0,1.0,5.0,7.0,0.0,6.0,0.0,2.0,3.0,0.0,7.0,0.0,2.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,15.0,7.0,12.0,0.0,5.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,9.0,163.0
2900.0,7.0,13.0,53.0,7.0,14.0,42.0,45.0,14.0,30.0,24.0,1.0,17.0,17.0,21.0,25.0,63.0,15.0,16.0,1.0,6.0,27.0,23.0,58.0,7.0,3.0,32.0,22.0,21.0,7.0,4.0,11.0,4.0,79.0,40.0,48.0,13.0,88.0,32.0,16.0,0.0,14.0,17.0,14.0,16.0,76.0,9.0,9.0,29.0,18.0,22.0,53.0,2.0,75.0,1320.0
2901.0,8.0,6.0,5.0,0.0,1.0,9.0,13.0,6.0,0.0,1.0,3.0,1.0,4.0,0.0,13.0,5.0,1.0,17.0,1.0,6.0,1.0,2.0,7.0,6.0,0.0,23.0,5.0,6.0,1.0,0.0,5.0,2.0,6.0,5.0,2.0,4.0,7.0,18.0,21.0,0.0,5.0,0.0,6.0,1.0,6.0,0.0,0.0,4.0,0.0,14.0,7.0,0.0,4.0,268.0
2902.0,20.0,23.0,19.0,16.0,8.0,43.0,61.0,24.0,12.0,9.0,3.0,9.0,19.0,6.0,39.0,34.0,3.0,30.0,1.0,25.0,7.0,9.0,19.0,15.0,4.0,89.0,10.0,45.0,5.0,3.0,14.0,6.0,47.0,32.0,21.0,28.0,38.0,55.0,75.0,0.0,39.0,5.0,18.0,10.0,43.0,6.0,3.0,9.0,12.0,45.0,46.0,5.0,38.0,1205.0
2903.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,73.0
