taz,commodity,quantity
816,FLR AT,65174.5729
3053,FLR AT,19012.14806
4064,FLR AT,604893.5322
330,FLR AT,46702.35552
704,FLR AT,45451.26659
2256,FLR AT,400521.8088
569,FLR AT,26446.74032
1567,FLR AT,296294.4761
2238,FLR AT,114240.2429
2853,FLR AT,21733.63123
432,FLR AT,3946.50461
2513,FLR AT,21224.53714
2486,FLR AT,24504.76507
3042,FLR AT,84200.16194
808,FLR AT,44359.64333
2549,FLR AT,57664.09894
299,FLR AT,609.3195207
1040,FLR AT,210318.6598
1213,FLR AT,179746.4415
2510,FLR AT,191.9496696
358,FLR AT,172576.2699
2479,FLR AT,3355.418444
1175,FLR AT,1977.254571
2553,FLR AT,5403.959189
870,FLR AT,63816.68639
1376,FLR AT,25309.78652
1555,FLR AT,405447.3341
1540,FLR AT,5234.217123
86,FLR AT,68707.40856
2143,FLR AT,42128.57026
785,FLR AT,178802.2833
3102,FLR AT,51152.9555
112,FLR AT,22387.18412
1502,FLR AT,141119.6098
2828,FLR AT,21588.87054
1826,FLR AT,117.2140981
1346,FLR AT,54301.86349
1354,FLR AT,156793.7634
1622,FLR AT,195854.0127
1506,FLR AT,3918.088631
98,FLR AT,59548.55679
995,FLR AT,11706.37294
1069,FLR AT,12321.36844
832,FLR AT,17726.98138
2972,FLR AT,189088.6907
53,FLR AT,72454.79433
2345,FLR AT,158593.0091
1605,FLR AT,5221.182694
3004,FLR AT,57224.62107
513,FLR AT,5003.571122
1454,FLR AT,14057.42372
552,FLR AT,1696.251494
2360,FLR AT,72582.27723
2675,FLR AT,33542.08224
2441,FLR AT,90484.50472
533,FLR AT,289.7088122
1423,FLR AT,17776.07746
947,FLR AT,45132.3661
2714,FLR AT,3.1380247
266,FLR AT,193163.6939
2021,FLR AT,156954.518
2211,FLR AT,65490.95019
3109,FLR AT,6100.215383
1234,FLR AT,97.45429313
1501,FLR AT,37017.48832
2087,FLR AT,20962.27064
1744,FLR AT,33234.27228
2850,FLR AT,494.2433961
948,FLR AT,30145.42557
374,FLR AT,25706.29927
774,FLR AT,439086.541
1161,FLR AT,62482.16071
686,FLR AT,64340.29561
2369,FLR AT,1.124689271
2886,FLR AT,359.4192597
3111,FLR AT,3085.427389
1087,FLR AT,10986.65577
2865,FLR AT,24779.80492
865,FLR AT,35608.23861
847,FLR AT,76852.77629
3090,FLR AT,206054.2088
1026,FLR AT,62621.21536
4039,FLR AT,981809.5574
2876,FLR AT,40518.0349
527,FLR AT,86.14709548
2421,FLR AT,0.664946952
621,FLR AT,39683.50283
4084,FLR AT,196059.301
2883,FLR AT,44986.2445
402,FLR AT,13574.2139
614,FLR AT,6773.878383
3104,FLR AT,15545.64255
2006,FLR AT,462320.1755
3108,FLR AT,16237.06141
2315,FLR AT,8071.47346
1218,FLR AT,7898.797733
730,FLR AT,51531.26403
1339,FLR AT,12803.86638
2050,FLR AT,144.7115221
189,FLR AT,58651.37553
67,FLR AT,48399.6851
277,FLR AT,35.33429714
884,FLR AT,45933.91617
2127,FLR AT,72374.98583
1747,FLR AT,32182.39088
2323,FLR AT,26424.48157
1656,FLR AT,16593.20806
2906,FLR AT,39154.91294
586,FLR AT,81240.06704
900,FLR AT,1993.13596
2277,FLR AT,100.3883501
2328,FLR AT,183207.2423
1306,FLR AT,10541.12041
1452,FLR AT,489.9805157
589,FLR AT,57060.69143
3071,FLR AT,41933.66998
1092,FLR AT,31470.22965
502,FLR AT,19906.21717
2791,FLR AT,72079.23053
2658,FLR AT,40679.99299
1717,FLR AT,39.69094349
2984,FLR AT,349563.7889
1777,FLR AT,8294.728827
2610,FLR AT,94.26102556
747,FLR AT,34934.41144
1190,FLR AT,25359.73209
2894,FLR AT,0.601745871
922,FLR AT,219331.8779
1504,FLR AT,81433.33481
2971,FLR AT,8.035057678
1201,FLR AT,53557.86052
2145,FLR AT,39994.40215
187,FLR AT,51708.02192
1148,FLR AT,341.0071854
47,FLR AT,199580.1597
4049,FLR AT,259979.1639
674,FLR AT,34416.34309
1433,FLR AT,20659.59751
1738,FLR AT,33797.08528
31,FLR AT,7620.502969
228,FLR AT,335119.1305
3031,FLR AT,18916.2685
811,FLR AT,61913.41017
2111,FLR AT,2818.746616
119,FLR AT,47814.47439
2034,FLR AT,50139.93275
596,FLR AT,66535.4864
1612,FLR AT,182964.4786
162,FLR AT,100873.9214
1435,FLR AT,10470.88032
1776,FLR AT,376.1540569
2734,FLR AT,19455.40164
3027,FLR AT,34893.3037
4,FLR AT,29.49624923
1413,FLR AT,537.7996152
362,FLR AT,602364.2237
2825,FLR AT,4554.026045
1421,FLR AT,32936.39854
2114,FLR AT,21001.90229
449,FLR AT,9043.952283
2384,FLR AT,7322.480701
2499,FLR AT,40.5720257
2725,FLR AT,17.43449811
1429,FLR AT,13926.20564
48,FLR AT,47022.02317
588,FLR AT,17995.80553
1310,FLR AT,494.7649192
2278,FLR AT,1135.319882
2090,FLR AT,29.04175589
1726,FLR AT,0.013377115
1086,FLR AT,80.34509151
669,FLR AT,52551.75551
498,FLR AT,196.5704535
34,FLR AT,304009.998
2431,FLR AT,21192.39248
1637,FLR AT,135939.5694
461,FLR AT,8800.715688
753,FLR AT,43834.34471
2772,FLR AT,134585.6108
1120,FLR AT,27266.26182
1008,FLR AT,20828.39724
740,FLR AT,71000.29667
3106,FLR AT,7768.634705
787,FLR AT,280983.5546
928,FLR AT,8730.061014
4019,FLR AT,412549.2967
2015,FLR AT,205163.2296
3128,FLR AT,8168.095147
874,FLR AT,222049.1526
25,FLR AT,30016.42163
4045,FLR AT,100791.965
410,FLR AT,13266.45062
2128,FLR AT,30596.07489
4050,FLR AT,130857.8577
1144,FLR AT,109941.9868
2991,FLR AT,71769.73871
2754,FLR AT,8720.267006
2535,FLR AT,9.217207489
1033,FLR AT,46358.12715
1090,FLR AT,42456.07673
2953,FLR AT,34250.16302
668,FLR AT,33277.17764
1588,FLR AT,420749.6092
435,FLR AT,15177.5261
2799,FLR AT,27237.31727
451,FLR AT,50089.3996
2266,FLR AT,134251.8596
317,FLR AT,159833.2036
1313,FLR AT,8056.570462
602,FLR AT,35112.1481
480,FLR AT,73038.56279
353,FLR AT,6488.655597
571,FLR AT,50460.34653
1409,FLR AT,370.182342
390,FLR AT,11177.19491
345,FLR AT,2385.94977
1363,FLR AT,74508.63553
387,FLR AT,159194.4933
1415,FLR AT,25307.48675
620,FLR AT,21930.21483
2815,FLR AT,1748.63632
360,FLR AT,107828.5885
687,FLR AT,49961.95935
2662,FLR AT,9410.739749
2661,FLR AT,14219.10038
647,FLR AT,43489.90432
3100,FLR AT,12230.75448
980,FLR AT,14087.51012
1335,FLR AT,101802.402
467,FLR AT,25328.18555
4138,FLR AT,2969739.214
850,FLR AT,91302.40927
2992,FLR AT,2513.768085
2711,FLR AT,79.80517379
1561,FLR AT,126710.1491
4096,FLR AT,18.21465997
2086,FLR AT,94034.1743
499,FLR AT,1170.234508
2526,FLR AT,7090.188961
1425,FLR AT,32998.74686
2502,FLR AT,28.34943369
