occupation,occupationLabel
9360,D4-Blue Collar Unskilled
9410,D3-ProtectTrans Specialists
9420,D3-ProtectTrans Specialists
9510,D3-ProtectTrans Specialists
9520,D4-Blue Collar Unskilled
9560,D3-ProtectTrans Specialists
9600,D4-Blue Collar Unskilled
9610,D4-Blue Collar Unskilled
9620,D4-Blue Collar Unskilled
9630,D4-Blue Collar Unskilled
9640,D4-Blue Collar Unskilled
9650,D3-ProtectTrans Specialists
9720,D4-Blue Collar Unskilled
9750,D3-ProtectTrans Specialists
9800,D3-ProtectTrans Specialists
9810,D3-ProtectTrans Specialists
9820,D3-ProtectTrans Specialists
9830,D3-ProtectTrans Specialists
9920,No_Occupation
