personType,tourPosition,stop,tourPurpose,stopPurpose,probability
4,1,2,3,2,0.00000
4,1,2,3,3,0.00000
4,1,2,4,1,0.14683
4,1,2,4,2,0.40456
4,1,2,4,3,0.44861
4,1,2,5,1,0.20203
4,1,2,5,2,0.20008
4,1,2,5,3,0.59789
4,1,2,6,1,0.00000
4,1,2,6,2,0.21107
4,1,2,6,3,0.78893
4,1,2,7,1,0.00000
4,1,2,7,2,0.00000
4,1,2,7,3,1.00000
4,2,1,0,1,0.00000
4,2,1,0,2,0.00000
4,2,1,0,3,0.00000
4,2,1,1,1,0.17458
4,2,1,1,2,0.21712
4,2,1,1,3,0.60830
4,2,1,2,1,0.00000
4,2,1,2,2,0.00000
4,2,1,2,3,1.00000
4,2,1,3,1,0.00000
4,2,1,3,2,0.00000
4,2,1,3,3,0.00000
4,2,1,4,1,0.14683
4,2,1,4,2,0.40456
4,2,1,4,3,0.44861
4,2,1,5,1,0.20203
4,2,1,5,2,0.20008
4,2,1,5,3,0.59789
4,2,1,6,1,0.00000
4,2,1,6,2,0.21107
4,2,1,6,3,0.78893
4,2,1,7,1,0.00000
4,2,1,7,2,0.00000
4,2,1,7,3,1.00000
4,2,2,0,1,0.00000
4,2,2,0,2,0.00000
4,2,2,0,3,0.00000
4,2,2,1,1,0.17458
4,2,2,1,2,0.21712
4,2,2,1,3,0.60830
4,2,2,2,1,0.00000
4,2,2,2,2,0.00000
4,2,2,2,3,1.00000
4,2,2,3,1,0.00000
4,2,2,3,2,0.00000
4,2,2,3,3,0.00000
4,2,2,4,1,0.14683
4,2,2,4,2,0.40456
4,2,2,4,3,0.44861
4,2,2,5,1,0.20203
4,2,2,5,2,0.20008
4,2,2,5,3,0.59789
4,2,2,6,1,0.00000
4,2,2,6,2,0.21107
4,2,2,6,3,0.78893
4,2,2,7,1,0.00000
4,2,2,7,2,0.00000
4,2,2,7,3,1.00000
5,0,1,0,1,0.00000
5,0,1,0,2,0.00000
5,0,1,0,3,0.00000
5,0,1,1,1,0.00000
5,0,1,1,2,0.00000
5,0,1,1,3,0.00000
5,0,1,2,1,0.00000
5,0,1,2,2,0.00000
5,0,1,2,3,0.00000
5,0,1,3,1,0.00000
5,0,1,3,2,0.00000
5,0,1,3,3,0.00000
5,0,1,4,1,0.00000
5,0,1,4,2,0.00000
5,0,1,4,3,0.00000
5,0,1,5,1,0.21488
5,0,1,5,2,0.21397
5,0,1,5,3,0.57115
5,0,1,6,1,0.00000
5,0,1,6,2,0.20017
5,0,1,6,3,0.79983
5,0,1,7,1,0.00000
5,0,1,7,2,0.00000
5,0,1,7,3,1.00000
5,0,2,0,1,0.00000
5,0,2,0,2,0.00000
5,0,2,0,3,0.00000
5,0,2,1,1,0.00000
5,0,2,1,2,0.00000
5,0,2,1,3,0.00000
5,0,2,2,1,0.00000
5,0,2,2,2,0.00000
5,0,2,2,3,0.00000
5,0,2,3,1,0.00000
5,0,2,3,2,0.00000
5,0,2,3,3,0.00000
5,0,2,4,1,0.00000
5,0,2,4,2,0.00000
5,0,2,4,3,0.00000
5,0,2,5,1,0.21488
5,0,2,5,2,0.21397
5,0,2,5,3,0.57115
5,0,2,6,1,0.00000
5,0,2,6,2,0.20017
5,0,2,6,3,0.79983
5,0,2,7,1,0.00000
5,0,2,7,2,0.00000
5,0,2,7,3,1.00000
5,1,1,0,1,0.00000
5,1,1,0,2,0.00000
5,1,1,0,3,0.00000
5,1,1,1,1,0.00000
5,1,1,1,2,0.00000
5,1,1,1,3,0.00000
5,1,1,2,1,0.00000
5,1,1,2,2,0.00000
5,1,1,2,3,0.00000
5,1,1,3,1,0.00000
5,1,1,3,2,0.00000
5,1,1,3,3,0.00000
5,1,1,4,1,0.00000
5,1,1,4,2,0.00000
