Activity,LocationDispersionParameter,SizeTermCoefficient,ProductionSubstitutionNesting,InertiaTermCoefficient,InertiaTermConstant,ImporterExporter,Units
sctg40_oth_misc_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg41_waste_scrap_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
energy_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
retail_trade_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
transport_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
wholesale_trade_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
construction_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
communications_and_utilities_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
accommodations_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
personal_and_other_services_and_amusements_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
entertainment_services_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
food_services_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
higher_education_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
health_services_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
fire_business_and_professional_services_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
government_administration_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
education_reports_to_sponsors_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
