AZone,FLRType,FLRName,BldgMSQFT
1026,AgForest,FLR Agriculture,796424.9781
1027,AgForest,FLR Logging,670162.4809
1028,AgForest,FLR Logging,369074.99
1029,AgForest,FLR Logging,582749.9842
1030,AgForest,FLR Agriculture,2836049.922
1032,AgForest,FLR Logging,3758737.397
1033,AgForest,FLR Logging,932399.974
1034,AgForest,FLR Logging,524474.9858
1035,AgForest,FLR Logging,1233487.466
1036,AgForest,FLR Logging,6264562.325
1037,AgForest,FLR Logging,3710174.898
1038,AgForest,FLR Logging,29137.49901
1039,AgForest,FLR Logging,291374.992
1040,AgForest,FLR Logging,38849.99899
1041,AgForest,FLR Logging,116549.997
1042,AgForest,FLR Logging,1048949.971
1043,AgForest,FLR Logging,1184924.967
1045,AgForest,FLR Logging,145687.496
1046,AgForest,FLR Logging,369074.99
1048,AgForest,FLR Logging,155399.996
1049,AgForest,FLR Logging,58274.99798
1050,AgForest,FLR Logging,9712.500019
1053,AgForest,FLR Logging,1272337.465
1054,AgForest,FLR Logging,1767674.951
1055,AgForest,FLR Logging,650737.4821
1058,AgForest,FLR Logging,48562.49901
1059,AgForest,FLR Logging,796424.9781
1060,AgForest,FLR Logging,19424.99899
1061,AgForest,FLR Agriculture,631312.483
1062,AgForest,FLR Logging,67987.498
1063,AgForest,FLR Agriculture,427349.988
1064,AgForest,FLR Logging,505049.9862
1067,AgForest,FLR Logging,155399.996
1068,AgForest,FLR Logging,5157337.357
1071,AgForest,FLR Logging,29137.49901
1072,AgForest,FLR Logging,67987.498
1073,AgForest,FLR Logging,4273499.882
1075,AgForest,FLR Logging,19424.99899
1076,AgForest,FLR Logging,446774.9878
1079,AgForest,FLR Logging,407924.989
1081,AgForest,FLR Logging,349649.99
1082,AgForest,FLR Logging,2418412.433
1083,AgForest,FLR Logging,233099.994
1084,AgForest,FLR Logging,301087.492
1085,AgForest,FLR Logging,194249.995
1087,AgForest,FLR Logging,359362.49
1088,AgForest,FLR Logging,291374.992
1089,AgForest,FLR Logging,1126649.969
1092,AgForest,FLR Logging,407924.989
1094,AgForest,FLR Logging,1262624.965
1096,AgForest,FLR Agriculture,806137.4781
1097,AgForest,FLR Logging,1913362.447
1098,AgForest,FLR Logging,339937.491
1100,AgForest,FLR Logging,203962.494
1101,AgForest,FLR Logging,495337.4862
1102,AgForest,FLR Agriculture,4574587.373
1103,AgForest,FLR Agriculture,4360912.379
1104,AgForest,FLR Logging,7837987.283
1105,AgForest,FLR Logging,7760287.285
1106,AgForest,FLR Logging,3341099.908
1107,AgForest,FLR Agriculture,4312349.881
1108,AgForest,FLR Agriculture,44619223.78
1109,AgForest,FLR Logging,12694237.15
1110,AgForest,FLR Logging,7829805.818
1110,AgForest,FLR Agriculture,23959205.8
1111,AgForest,FLR Agriculture,4292924.881
1113,AgForest,FLR Agriculture,1680262.454
1114,AgForest,FLR Logging,6663636.409
1114,AgForest,FLR Agriculture,26388000.18
1115,AgForest,FLR Logging,4667922.127
1115,AgForest,FLR Agriculture,33609039.31
1116,AgForest,FLR Logging,4167141.171
1116,AgForest,FLR Agriculture,19502220.68
1117,AgForest,FLR Agriculture,2195024.939
1118,AgForest,FLR Logging,5084043.031
1118,AgForest,FLR Agriculture,14642043.93
1119,AgForest,FLR Logging,52486348.59
1119,AgForest,FLR Agriculture,53739261.01
1120,AgForest,FLR Logging,1320899.964
1121,AgForest,FLR Logging,1476299.959
1123,AgForest,FLR Logging,301087.492
1124,AgForest,FLR Logging,1981349.945
1125,AgForest,FLR Logging,58274.99798
1126,AgForest,FLR Logging,2049337.443
1127,AgForest,FLR Agriculture,1845374.949
1128,AgForest,FLR Logging,291374.992
1129,AgForest,FLR Agriculture,709012.4801
1130,AgForest,FLR Agriculture,631312.483
1131,AgForest,FLR Agriculture,514762.4862
1132,AgForest,FLR Agriculture,893549.9752
1134,AgForest,FLR Logging,1447162.46
